Feb 2010	Mar 2010	May 2010	Jun 2010	Jul 2010	Aug 2010	Sep 2010	Oct 2010	Nov 2010	Dec 2010	Jan 2011	Feb 2011	Mar 2011	Apr 2011	May 2011	Jun 2011	Jul 2011	Aug 2011	Sep 2011	Oct 2011	Nov 2011	Dec 2011	Jan 2012	Feb 2012	Mar 2012	Apr 2012	May 2012	Jun 2012	Jul 2012	Aug 2012	Sep 2012	Oct 2012	Nov 2012	Dec 2012	Jan 2013	Feb 2013	Mar 2013	Apr 2013	May 2013	Jun 2013	Jul 2013	Aug 2013	Sep 2013	Oct 2013
19	19	18	17	16	16	16	16	15	14	14	14	14	14	14	14	14	13	12	12	13	13	13	13	13	12	12	12	13	13	12	12	13	12	12	12	12	12	12	12	12	12	12	12
20	18	16	17	16	15	15	15	15	15	15	15	15	14	14	14	13	13	12	13	12	12	12	12	11	12	12	12	10	12	13	13	13	13	14	14	14	14	13	13	12	11	11	10
37	38	37	34	34	32	34	34	34	32	31	31	31	31	30	30	31	31	30	27	26	27	27	26	26	28	29	30	31	29	31	31	32	31	31	30	30	30	31	32	33	35	34	33
36	36	36	34	34	32	30	30	30	30	31	31	30	29	28	27	25	27	29	30	31	31	32	32	33	31	29	29	28	29	29	30	29	29	31	29	30	31	32	34	34	34	35	36
93	96	94	94	93	93	93	94	99	99	99	99	97	95	95	95	92	94	94	94	94	95	93	93	93	93	97	96	99	95	95	97	97	99	99	102	105	106	106	108	107	112	111	115
139	133	127	117	115	110	107	102	96	92	87	88	89	95	95	98	96	91	84	80	81	76	81	82	85	89	87	97	100	98	103	114	117	119	119	120	114	108	111	112	111	110	109	106
N/A	N/A	15	31	39	50	57	64	69	79	89	91	96	95	96	92	114	117	131	142	143	153	160	164	181	195	206	212	230	241	237	227	228	235	244	240	245	237	236	231	231	232	242	243
505	500	512	510	510	494	502	504	510	498	491	514	529	507	512	512	520	549	546	542	568	551	543	549	514	520	510	495	499	469	473	496	472	469	465	427	433	434	450	468	474	478	480	486
849	840	855	854	857	842	854	859	868	849	847	873	891	880	884	882	905	935	938	940	968	958	961	971	956	980	982	983	1010	986	996	1,020	1,000	1,006	1015	964	983	977	991	1,010	1,014	1,014	1.034	1,041
344	340	343	344	347	348	352	355	358	351	356	359	362	373	372	370	385	386	392	398	400	407	418	422	442	460	472	488	511	517	523	524	528	537	550	537	550	538	541	542	540	536	554	555
