Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position	Team(s)
1976	1	0	0	0	0	30.0	29.0	$565	101st	#14 Cunningham-Kelly
1978	2	0	0	1	0	7.0	17.0	$10,320	69th	#14 Cunningham-Kelly
1979	1	0	0	0	0	14.0	15.0	$505	86th	#14 Cunningham-Kelly
1981	2	0	0	0	0	27.5	27.0	$1,955	93rd	#99 Ulrich Racing #14 Marlin Racing
1982	1	0	0	0	0	32.0	23.0	$3,615	115th	#41 Matthews Racing
1983	30	0	0	1	0	24.6	21.2	$148,252	19th	#17 Hamby Racing
1986	10	0	2	4	0	11.6	22.8	$113,070	36th	#1 Ellington Racing
1987	29	0	4	8	0	17.3	16.3	$306,412	11th	#44 Hagan Racing
1988	29	0	6	13	0	14.1	14.3	$521,464	10th	#44 Hagan Racing
1989	29	0	4	13	0	12.9	16.1	$473,267	12th	#94 Hagan Racing
1990	29	0	5	10	0	15.3	16.4	$369,167	14th	#94 Hagan Racing
1991	29	0	7	16	2	14.3	11.8	$633,690	7th	#22 Junior Johnson & Associates
1992	29	0	6	13	5	13.0	14.4	$649,048	10th	#22 Junior Johnson & Associates
1993	30	0	1	8	0	19.2	18.0	$628,835	15th	#8 Stavola Brothers Racing
1994	31	1	5	11	1	15.5	18.7	$1,127,683	14th	#4 Morgan-McClure Motorsports
1995	31	3	9	22	1	13.4	9.8	$2,253,502	3rd	#4 Morgan-McClure Motorsports
1996	31	2	5	10	0	17.8	16.3	$1,588,245	8th	#4 Morgan-McClure Motorsports
1997	32	0	2	6	0	20.7	24.2	$1,301,370	25th	#4 Morgan-McClure Motorsports
1998	32	0	0	6	0	19.5	18.1	$1,350,161	13th	#40 Team SABCO
1999	34	0	2	5	1	20.5	21.7	$1,797,416	16th	#40 Team SABCO
2000	34	0	1	7	0	26.7	21.9	$1,992,301	19th	#40 Team SABCO
2001	36	2	12	20	1	15.4	13.0	$4,517,634	3rd	#40 Chip Ganassi Racing
2002	29	2	8	14	0	20.5	13.9	$4,228,889	18th	#40 Chip Ganassi Racing
2003	36	0	0	11	0	21.4	20.4	$4,384,491	18th	#40 Chip Ganassi Racing
2004	36	0	3	7	0	22.3	19.5	$4,457,443	21st	#40 Chip Ganassi Racing
2005	35	0	1	5	0	26.5	24.6	$4,080,118	30th	#40 Chip Ganassi Racing
2006	36	0	0	1	0	23.9	28.2	$3,248,034	34th	#14 Ginn Racing
2007	21	0	0	0	0	28.6	26.8	$2,057,690	40th	#14 Ginn Racing #09 Phoenix Racing
2008	9	0	0	0	0	23.9	33.2	$719,795	51st	#09 Phoenix Racing #40 Chip Ganassi Racing
