Municipality	Inhabitants	Mayor	Party	Election
Trieste	205,535	Roberto Cosolini	Democratic Party	2011
Udine	99,627	Furio Honsell	Democratic Party	2008
Pordenone	51,723	Claudio Pedrotti	Democratic Party	2011
Gorizia	35,798	Ettore Romoli	The People of Freedom	2012
Monfalcone	27,877	Silvia Altran	Democratic Party	2011
Sacile	20,227	Roberto Ceraolo	The People of Freedom	2009
Cordenons	18,470	Mario Ongaro	Lega Friuli-VG	2011
Codroipo	15,887	Fabio Marchetti	The People of Freedom	2011
Azzano Decimo	15,601	Marco Putto	Democratic Party	2012
Porcia	15,443	Stefano Turchet	Lega Friuli-VG	2009
San Vito al Tagliamento	15,015	Antonio Di Bisceglie	Democratic Party	2011
