Date	Visitor	Score	Home	Record
October 7	Chicago Black Hawks	6–4	St. Louis Blues	1–0–0
October 9	Chicago Black Hawks	1–2	New York Islanders	1–1–0
October 10	Vancouver Canucks	1-5	Chicago Black Hawks	2–1-0
October 13	Pittsburgh Penguins	1–4	Chicago Black Hawks	3–1–0
October 15	Chicago Black Hawks	3–5	Colorado Rockies	3–2-0
October 17	Minnesota North Stars	0–3	Chicago Black Hawks	4–2–0
October 19	Chicago Black Hawks	0–3	Cleveland Barons	4–3–0
October 21	Chicago Black Hawks	1–5	Philadelphia Flyers	4–4–0
October 23	Chicago Black Hawks	3–4	Minnesota North Stars	4–5–0
October 24	St. Louis Blues	2–7	Chicago Black Hawks	5–5–0
October 27	Montreal Canadiens	4–4	Chicago Black Hawks	5–5–1
October 30	Chicago Black Hawks	6–5	Detroit Red Wings	6–5–1
October 31	Washington Capitals	4–5	Chicago Black Hawks	7–5–1
November 4	Chicago Black Hawks	5-7	Boston Bruins	7–6–1
November 6	Chicago Black Hawks	3–11	Montreal Canadiens	7-7–1
November 7	Colorado Rockies	3–2	Chicago Black Hawks	7–8–1
November 10	Philadelphia Flyers	2–2	Chicago Black Hawks	7-8–2
November 12	Chicago Black Hawks	5-4	Washington Capitals	8–8–2
November 14	Los Angeles Kings	4-5	Chicago Black Hawks	9–8–2
November 17	Chicago Black Hawks	2–3	New York Rangers	9–9–2
November 19	Chicago Black Hawks	3–5	Atlanta Flames	9–10–2
November 21	Chicago Black Hawks	0–5	Pittsburgh Penguins	9–11–2
November 24	Chicago Black Hawks	5-4	Los Angeles Kings	10–11–2
November 27	Chicago Black Hawks	3–4	Vancouver Canucks	10–12–2
December 1	Boston Bruins	5–3	Chicago Black Hawks	10–13–2
December 4	Chicago Black Hawks	2-2	Toronto Maple Leafs	10–13–3
December 5	Vancouver Canucks	4-2	Chicago Black Hawks	10–14–3
December 8	Montreal Canadiens	4-3	Chicago Black Hawks	10–15–3
December 11	Chicago Black Hawks	1–3	Atlanta Flames	10–16–3
December 12	New York Islanders	6–2	Chicago Black Hawks	10–17–3
December 16	Chicago Black Hawks	1–4	Philadelphia Flyers	10–18–3
December 18	New York Rangers	3–3	Chicago Black Hawks	10–18–4
December 19	St. Louis Blues	6–4	Chicago Black Hawks	10–19–4
December 21	Chicago Black Hawks	3–3	Minnesota North Stars	10–19–5
December 22	Buffalo Sabres	4-2	Chicago Black Hawks	10–20–5
December 26	Colorado Rockies	3-5	Chicago Black Hawks	11–20–5
December 29	Detroit Red Wings	3–6	Chicago Black Hawks	12–20–5
December 31	Chicago Black Hawks	2–2	Colorado Rockies	12–20–6
January 2	Toronto Maple Leafs	4–6	Chicago Black Hawks	13–20–6
January 5	Buffalo Sabres	1–2	Chicago Black Hawks	14–20–6
January 8	Chicago Black Hawks	2–4	Pittsburgh Penguins	14–21–6
January 9	Boston Bruins	4-2	Chicago Black Hawks	14-22–6
January 12	New York Islanders	1–2	Chicago Black Hawks	15–22–6
January 15	Chicago Black Hawks	4–1	Toronto Maple Leafs	16-22–6
January 16	New York Rangers	5–2	Chicago Black Hawks	16–23–6
January 18	Chicago Black Hawks	7-7	Colorado Rockies	16–23–7
January 19	St. Louis Blues	5–3	Chicago Black Hawks	16–24–7
January 22	Chicago Black Hawks	3–0	Detroit Red Wings	17–24–7
January 23	Philadelphia Flyers	2–2	Chicago Black Hawks	17–24–8
January 27	Chicago Black Hawks	1–1	Vancouver Canucks	17–24–9
January 30	Cleveland Barons	3–9	Chicago Black Hawks	18–24–9
February 2	Atlanta Flames	2–4	Chicago Black Hawks	19–24–9
February 3	Chicago Black Hawks	0–6	Philadelphia Flyers	19–25–9
February 5	Chicago Black Hawks	3–5	Cleveland Barons	19–26–9
February 6	Minnesota North Stars	3-0	Chicago Black Hawks	19–27–9
February 9	Washington Capitals	4–4	Chicago Black Hawks	19–27–10
February 12	Colorado Rockies	2–4	Chicago Black Hawks	20–27–10
February 13	Atlanta Flames	2–4	Chicago Black Hawks	21–27–10
February 15	Chicago Black Hawks	1–5	St. Louis Blues	21–28–10
February 16	Chicago Black Hawks	0–3	Buffalo Sabres	21–29–10
February 19	Chicago Black Hawks	2–6	Minnesota North Stars	21–30–10
February 20	Toronto Maple Leafs	10–8	Chicago Black Hawks	21–31–10
February 23	Detroit Red Wings	2–5	Chicago Black Hawks	22–31–10
February 26	New York Rangers	1–2	Chicago Black Hawks	23–31–10
February 27	Vancouver Canucks	4-3	Chicago Black Hawks	23–32–10
March 2	Chicago Black Hawks	3–6	Buffalo Sabres	23–33–10
March 3	Chicago Black Hawks	4–7	Washington Capitals	23-34–10
March 6	Chicago Black Hawks	2–6	Boston Bruins	23–35–10
March 8	Chicago Black Hawks	1–7	Los Angeles Kings	23–36–10
March 10	Chicago Black Hawks	0–5	Vancouver Canucks	23–37–10
March 12	Chicago Black Hawks	1–5	Montreal Canadiens	23–38–10
March 16	New York Islanders	5–0	Chicago Black Hawks	23–39-10
March 19	Chicago Black Hawks	2–2	New York Islanders	23–39–11
March 20	Pittsburgh Penguins	2–3	Chicago Black Hawks	24–39–11
March 23	Los Angeles Kings	3–1	Chicago Black Hawks	24–40–11
March 26	Minnesota North Stars	2–7	Chicago Black Hawks	25–40–11
March 27	Chicago Black Hawks	5–3	New York Rangers	26–40–11
March 30	Chicago Black Hawks	1–4	St. Louis Blues	26-41–11
April 1	Chicago Black Hawks	4–6	Atlanta Flames	26–42–11
April 3	Cleveland Barons	4–2	Chicago Black Hawks	26-43–11
