Date	Venue	Score	Result	Competition
2002-03-07	Cuiabá , Brazil	6–1	Win	Friendly
2003-07-19	Miami, Florida, United States	2–0	Win	2003 Gold Cup
2003-07-23	Miami, Florida, United States	2–1	Win	2003 Gold Cup
2003-09-07	Barranquilla , Colombia	1–2	Win	2006 World Cup qualifier
2003-10-11	Curitiba , Brazil	3–3	Draw	2006 World Cup qualifier
2004-04-28	Budapest , Hungary	1–4	Win	Friendly
2004-10-10	Maracaibo , Venezuela	2–5	Win	2006 World Cup qualifier
2004-10-10	Maracaibo, Venezuela	2–5	Win	2006 World Cup qualifier
2005-03-27	Goiânia , Brazil	1–0	Win	2006 World Cup qualifier
2005-06-29	Frankfurt , Germany	4–1	Win	2005 FIFA Confederations Cup
2005-11-10	Abu Dhabi , United Arab Emirates	0–8	Win	Friendly
2006-06-04	Geneva , Switzerland	4–0	Win	Friendly
2006-06-13	Berlin , Germany	1–0	Win	2006 FIFA World Cup
2006-09-03	London, England	3–0	Win	Friendly
2006-10-10	Stockholm , Sweden	2–1	Win	Friendly
2006-11-15	Basel , Switzerland	1–2	Win	Friendly
2007-03-24	Gothenburg , Sweden	4–0	Win	Friendly
2007-09-12	Foxborough, Massachusetts , United States	3–1	Win	Friendly
2007-10-17	Rio de Janeiro , Brazil	5–0	Win	2010 World Cup qualifier
2007-10-17	Rio de Janeiro, Brazil	5–0	Win	2010 World Cup qualifier
2007-11-18	Lima , Peru	1–1	Draw	2010 World Cup qualifier
2008-10-11	San Cristóbal , Venezuela	4–0	Win	2010 World Cup qualifier
2009-06-06	Montevideo , Uruguay	4–0	Win	2010 World Cup qualifier
2009-06-15	Bloemfontein , South Africa	4–3	Win	2009 FIFA Confederations Cup
2010-06-07	Dar es Salaam , Tanzania	1–5	Win	Friendly
2012-10-11	Malmö , Sweden	6–0	Win	Friendly
2012-10-16	Wrocław , Poland	4–0	Win	Friendly
