Rank	Nation	Gold	Silver	Bronze	Total
1	Germany	6	2	3	11
2	Hungary	6	1	3	10
3	Canada	3	0	0	3
4	Russia	2	6	3	11
5	Poland	2	2	3	7
6	Belarus	1	3	4	8
7	Azerbaijan	1	3	0	4
8	Spain	1	1	2	4
9	Romania	1	1	1	3
10	Ukraine	1	0	3	4
11	Lithuania	1	1	0	2
12	Austria	1	0	0	1
12	France	1	0	0	1
12	New Zealand	1	0	0	1
12	Slovakia	1	0	0	1
16	Great Britain	0	3	0	3
17	Sweden	0	2	0	2
18	Australia	0	1	2	3
19	Bulgaria	0	1	1	2
20	Czech Republic	0	1	0	1
20	United States	0	1	0	1
22	Denmark	0	0	1	1
22	Italy	0	0	1	1
22	Norway	0	0	1	1
22	Uzbekistan	0	0	1	1
Total	Total	29	29	29	87
