Outcome	Year	Championship	Opponent in the final	Score
Runner-up	1998	UK Tour – Event 4	Patrick Wallace Category:Articles with hCards	4–6
Winner	2000	Benson & Hedges Championship	Stuart Bingham Category:Articles with hCards	9–7
Winner	2001	Challenge Tour – Event 3	Andrew Norman Category:Articles with hCards	6–3
Winner	2001	Challenge Tour – Event 4	Luke Simmonds Category:Articles with hCards	6–2
Runner-up	2005	Pot Black	Matthew Stevens Category:Articles with hCards	0–1
Runner-up	2007	Pot Black (2)	Ken Doherty Category:Articles with hCards	0–1
Winner	2008	Malta Cup	Ken Doherty Category:Articles with hCards	9–3
Winner	2009	Premier League Snooker	Ronnie O'Sullivan Category:Articles with hCards	7–3
Winner	2010	Wuxi Classic	Ding Junhui	9–8
Runner-up	2010	Premier League Snooker	Ronnie O'Sullivan Category:Articles with hCards	1–7
Runner-up	2011	Championship League	Matthew Stevens Category:Articles with hCards	1–3
Winner	2011	Brazil Masters	Graeme Dott Category:Articles with hCards	5–0
Runner-up	2012	Masters	Neil Robertson Category:Articles with hCards	6–10
