Game	Date	Team	Score	High points	High rebounds	High assists	Location Attendance	Record
19	December 1	Detroit	W 97–72 (OT)	LeBron James (18)	Chris Bosh , James Jones (7)	Mario Chalmers (6)	American Airlines Arena 19,600	11–8
20	December 2	@ Cleveland	W 118–90 (OT)	LeBron James (38)	Dwyane Wade (9)	Dwyane Wade (9)	Quicken Loans Arena 20,562	12–8
21	December 4	Atlanta	W 89–77 (OT)	Chris Bosh (27)	Chris Bosh , Dwyane Wade (10)	Mario Chalmers , LeBron James (4)	American Airlines Arena 19,600	13–8
22	December 6	@ Milwaukee	W 88–78 (OT)	Dwyane Wade (25)	Dwyane Wade (14)	LeBron James (6)	Bradley Center 17,167	14–8
23	December 8	@ Utah	W 111–98 (OT)	LeBron James (33)	Žydrūnas Ilgauskas (10)	LeBron James (9)	EnergySolutions Arena 19,911	15–8
24	December 10	@ Golden State	W 106–84 (OT)	Dwyane Wade (34)	Dwyane Wade (9)	LeBron James (9)	Oracle Arena 20,036	16–8
25	December 11	@ Sacramento	W 104–83 (OT)	Dwyane Wade (36)	Chris Bosh (17)	Dwyane Wade (6)	ARCO Arena 16,396	17–8
26	December 13	New Orleans	W 96–84 (OT)	Dwyane Wade (32)	Chris Bosh (11)	LeBron James (7)	American Airlines Arena 19,600	18–8
27	December 15	Cleveland	W 101–95 (OT)	Dwyane Wade (28)	LeBron James (13)	LeBron James (5)	American Airlines Arena 19,899	19–8
28	December 17	@ New York	W 113–91 (OT)	LeBron James (32)	LeBron James (11)	LeBron James (10)	Madison Square Garden 19,763	20–8
29	December 18	@ Washington	W 95–94 (OT)	LeBron James (32)	Chris Bosh (9)	LeBron James (6)	Verizon Center 20,278	21–8
30	December 20	Dallas	L 96–98 (OT)	Dwyane Wade (22)	LeBron James (10)	LeBron James , Dwyane Wade (7)	American Airlines Arena 20,178	21–9
31	December 23	@ Phoenix	W 95–83 (OT)	LeBron James (36)	Chris Bosh (11)	LeBron James (4)	US Airways Center 18,422	22–9
32	December 25	@ L.A. Lakers	W 96–80 (OT)	LeBron James (27)	Chris Bosh (13)	LeBron James (10)	Staples Center 18,997	23–9
