Rank	Heat	Name	Nationality	Result
1	3	Melaine Walker	Jamaica	54.46
2	4	Ekaterina Bikert	Russia	55.15
3	3	Anastasiya Rabchenyuk	Ukraine	55.18
4	2	Tasha Danvers	Great Britain	55.19
5	3	Tsvetelina Kirilova	Bulgaria	55.22
6	2	Anastasiya Ott	Russia	55.34
7	4	Anna Jesień	Poland	55.35
8	1	Tiffany Ross-Williams	United States	55.51
9	1	Irina Obedina	Russia	55.71
10	2	Nickiesha Wilson	Jamaica	55.75
11	1	Satomi Kubokura	Japan	55.82
12	4	Zuzana Hejnová	Czech Republic	55.91
13	3	Queen Harrison	United States	55.96
14	2	Angela Morosanu	Romania	56.07
15	2	Sheena Tosta	United States	56.12
16	3	Aïssata Soulama	Burkina Faso	56.37
17	1	Shevon Stoddart	Jamaica	56.52
18	2	Nikolina Horvat	Croatia	56.65
19	4	Tatyana Azarova	Kazakhstan	56.88
20	4	Muna Jabir Adam	Sudan	57.16
21	1	Ieva Zunda	Latvia	57.43
22	1	Lucimar Teodoro	Brazil	57.68
23	4	Josanne Lucas	Trinidad and Tobago	57.76
24	3	Carole Kaboud Mebam	Cameroon	57.81
25	2	Michelle Carey	Ireland	57.99
26	4	Laia Forcadell	Spain	58.64
27	3	Galina Pedan	Kyrgyzstan	1:00.31
