2004/ 05	2006/ 07	2007/ 08	2009/ 10	2010/ 11	2011/ 12	2012/ 13
UR	UR	75	UR	72	69	43
Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments	Ranking tournaments
Tournament Not Held	Tournament Not Held	Tournament Not Held	Non-Ranking	Non-Ranking	Non-Ranking	LQ
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	LQ	LQ
Tournament Not Held	Tournament Not Held	LQ	LQ	LQ	LQ	LQ
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	LQ
LQ	LQ	LQ	LQ	LQ	LQ	LQ
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	LQ	LQ	LQ
LQ	2R	LQ	LQ	LQ	LQ	LQ
LQ	RR	RR	LQ	LQ	LQ	LQ
Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	DNQ	1R	QF
LQ	LQ	LQ	LQ	LQ	1R	LQ
LQ	LQ	LQ	LQ	LQ	LQ	1R
Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments	Non-ranking tournaments
A	LQ	LQ	LQ	A	A	A
Variant Format Tournaments	Variant Format Tournaments	Variant Format Tournaments	Variant Format Tournaments	Variant Format Tournaments	Variant Format Tournaments	Variant Format Tournaments
Not Held	Not Held	Not Held	Not Held	A	1R	2R
Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments	Former ranking tournaments
LQ	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
LQ	NR	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
LQ	LQ	NR	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
Not Held	LQ	LQ	Tournament Not Held	Tournament Not Held	Tournament Not Held	Tournament Not Held
