Week	Date	Opponent	Result	Attendance
1	September 17, 1950	Chicago Bears	L 20-24	21,000
2	September 22, 1950	New York Yanks	W 45-28	23,768
3	October 1, 1950	at San Francisco 49ers	W 35-14	27,262
4	October 7, 1950	at Philadelphia Eagles	L 20-56	24,134
5	October 15, 1950	at Detroit Lions	W 30-28	35,589
6	October 22, 1950	Baltimore Colts	W 70-27	16,026
7	October 29, 1950	Detroit Lions	W 65-24	27,475
8	November 5, 1950	San Francisco 49ers	W 28-21	33,234
9	November 12, 1950	at Green Bay Packers	W 45-14	20,456
10	November 19, 1950	at New York Yanks	W 43-35	42,673
11	November 26, 1950	at Chicago Bears	L 14-24	43,678
12	December 3, 1950	Green Bay Packers	W 51-14	39,323
13	Bye	Bye	Bye	Bye
