Month	Births	Deaths	Rate (%)	Sort restore
Jan	254	37	14.6	1
Feb	239	18	7.5	2
Mar	277	12	4.3	3
Apr	255	4	1.6	4
Maj	255	2	0.8	5
Jun	200	10	5.0	6
Jul	190	16	8.4	7
Aug	222	3	1.4	8
Sep	213	4	1.9	9
Okt	236	26	11.0	10
Nov	235	53	22.6	11
Dec	na	na	na	12
Jan	307	64	20.8	13
Feb	311	38	12.2	14
Mar	264	27	10.2	15
Apr	242	26	10.7	16
Maj	310	10	3.2	17
Jun	273	18	6.6	18
Jul	231	48	20.8	19
Aug	216	55	25.5	20
Sep	223	41	18.4	21
Okt	242	71	29.3	22
Nov	209	48	23.0	23
Dec	239	75	31.4	24
Jan	272	52	19.1	25
Feb	263	42	16.0	26
Mar	266	33	12.4	27
Apr	285	34	11.9	28
Maj	246	15	6.1	29
Jun	196	8	4.1	30
Jul	191	1	0.5	31
Aug	193	3	1.6	32
Sep	221	5	2.3	33
Okt	250	44	17.6	34
Nov	252	18	7.1	35
Dec	236	19	8.1	36
Jan	244	37	15.2	37
Feb	257	29	11.3	38
Mar	276	47	17.0	39
Apr	208	36	17.3	40
Maj	240	14	5.8	41
Jun	224	6	2.7	42
Jul	206	9	4.4	43
Aug	269	17	6.3	44
Sep	245	3	1.2	45
Okt	248	8	3.2	46
Nov	245	27	11.0	47
Dec	256	27	10.5	48
Jan	303	23	7.6	49
Feb	274	13	4.7	50
Mar	292	13	4.5	51
Apr	260	11	4.2	52
Maj	296	13	4.4	53
Jun	280	20	7.1	54
Jul	245	15	6.1	55
Aug	251	9	3.6	56
Sep	237	25	10.5	57
Okt	283	42	14.8	58
Nov	265	29	10.9	59
Dec	267	28	10.5	60
Jan	336	45	13.4	61
Feb	293	53	18.1	62
Mar	311	48	15.4	63
Apr	253	48	19.0	64
Maj	305	41	13.4	65
Jun	266	27	10.2	66
Jul	252	33	13.1	67
Aug	216	39	18.1	68
Sep	271	39	14.4	69
Okt	254	38	15.0	70
Nov	297	32	10.8	71
Dec	298	16	5.4	72
Jan	311	10	3.2	73
Feb	312	6	1.9	74
Mar	305	11	3.6	75
Apr	312	57	18.3	76
Maj	294	36	12.2	77
Jun	268	6	2.2	78
Jul	250	3	1.2	79
Aug	264	5	1.9	80
Sep	262	12	4.6	81
Okt	278	11	4.0	82
Nov	246	11	4.5	83
Dec	273	8	2.9	84
Jan	283	10	3.5	85
Feb	291	2	0.7	86
Mar	276	0	0.0	87
Apr	305	2	0.7	88
Maj	313	3	1.0	89
Jun	264	3	1.1	90
Jul	269	1	0.4	91
Aug	261	0	0.0	92
Sep	312	3	1.0	93
Okt	299	7	2.3	94
Nov	310	9	2.9	95
Dec	373	5	1.3	96
Jan	403	9	2.2	97
Feb	389	12	3.1	98
Mar	406	20	4.9	99
