Month	Week	Overall	Offensive	Defensive	Transition	Rookie
December	1	Jason Wulder	Jason Wulder	Gord Nash	Josh Sims	Dane Dobbie
January	2	Blaine Manning	Blaine Manning	Rob Marshall	Bobby McBride	Bobby McBride
January	3	Jeff Zywicki	Jeff Zywicki	Nick Patterson	Johnny Christmas	Craig Point
January	4	John Tavares	John Tavares	Bob Watson	Pat McCready	Merrick Thomson
January	5	Sean Pollock	Sean Pollock	Ryan Avery	Geoff Snider	Jordan Hall
February	6	Jeff Zywicki	Jeff Zywicki	Aaron Bold	Jimmy Quinlan	Craig Point
February	7	Pat O'Toole	Shawn Evans	Pat O'Toole	Jarett Park	Craig Point
February	8	John Grant, Jr.	John Grant, Jr.	Bob Watson	Brodie Merrill	Jordan Hall
February	9	Casey Powell	Casey Powell	Daniel Sams	Rob Van Beek	Daniel Sams
February	10	Shawn Evans	Shawn Evans	Curtis Palidwor	Mark Steenhuis	Steve Hutchins
March	11	Ken Montour	Luke Wiles	Ken Montour	Mark Steenhuis	Frank Resetarits
March	12	Gavin Prout	Mike Hominuck	Matt Vinc	John Orson	Craig Point
March	13	Bob Watson	Brian Langtry	Bob Watson	Mitch Belisle	Sean Morris
March	14	Cody Jacobs	Cody Jacobs	Rory Glaves	Chris McKay	Matt MacLeod
April	15	Jeff Zywicki	Ryan Ward	Scott Self	Mark Steenhuis	Bobby McBride
April	16	Athan Iannucci	Athan Iannucci	Pat O'Toole	Nolan Heavenor	Tom Johnson
April	17	Pat Maddalena	Pat Maddalena	Matt Vinc	Mark Steenhuis	Jordan Hall
April	18	Jim Veltman	John Tavares	Greg Peyser	Brad Self	Peter Jacobs
