Seed	Rank	Player	Points	Points defending	Points won	New points	Status
2	2	Roger Federer	7215	1200	720	6735	Semifinals lost to Novak Djokovic [3]
4	4	Andy Murray	5125	180	90	5035	3rd round lost to Stanislas Wawrinka [25]
5	5	Robin Söderling	4910	360	360	4910	Quarterfinals lost to Roger Federer [2]
6	6	Nikolay Davydenko	4285	180	45	4150	2nd round lost to Richard Gasquet
7	7	Tomáš Berdych	3860	90	10	3780	1st round lost to Michaël Llodra
8	8	Fernando Verdasco	3330	360	360	3330	Quarterfinals lost to Rafael Nadal [1]
9	9	Andy Roddick	3225	90	45	3180	2nd round lost to Janko Tipsarević
10	12	David Ferrer	3065	45	180	3200	4th round lost to Fernando Verdasco [8]
11	13	Marin Čilić	2855	360	45	2540	2nd round lost to Kei Nishikori [Q]
12	14	Mikhail Youzhny	2620	45	720	3295	Semifinals lost to Rafael Nadal [1]
13	15	Jürgen Melzer	2470	45	180	2605	4th round lost to Roger Federer [2]
14	16	Nicolás Almagro	2150	90	90	2150	3rd round lost to Sam Querrey [20]
15	17	Ivan Ljubičić	2120	10	10	2120	1st round lost to Ryan Harrison [Q]
16	18	Marcos Baghdatis	2095	75	10	2030	1st round lost to Arnaud Clément
17	19	Gaël Monfils	2070	180	360	2250	Quarterfinals lost to Novak Djokovic [3]
18	20	John Isner	1805	180	90	1715	3rd round lost to Mikhail Youzhny [12]
19	21	Mardy Fish	1751	0	180	1931	4th round lost to Novak Djokovic [3]
20	22	Sam Querrey	1705	90	180	1795	4th round lost to Stanislas Wawrinka [25]
21	23	Albert Montañés	1600	10	180	1770	4th round lost to Robin Söderling [5]
22	24	Juan Carlos Ferrero	1560	180	90	1470	3rd round lost to Jürgen Melzer [13]
23	25	Feliciano López	1515	10	180	1685	4th round lost to Rafael Nadal [1]
24	26	Ernests Gulbis	1515	10	10	1515	1st round lost to Jérémy Chardy
25	27	Stanislas Wawrinka	1510	10	360	1860	Quarterfinals lost to Mikhail Youzhny [12]
26	28	Thomaz Bellucci	1480	70	45	1455	2nd round lost to Kevin Anderson
27	29	Fernando González	1340	360	10	990	1st round lost to Ivan Dodig [Q]
28	30	Radek Štěpánek	1320	180	10	1150	1st round lost to Julien Benneteau
29	31	Philipp Kohlschreiber	1315	90	45	1270	2nd round lost to Gilles Simon
30	32	Juan Mónaco	1235	10	10	1235	1st round lost to Peter Polansky [Q]
31	33	David Nalbandian	1235	0	90	1325	3rd round lost to Fernando Verdasco [8]
