Pos	##	Name	Team	Lap One	Lap Two	Lap Three	Lap Four	Total Time	Avg. Speed
1	6	Ryan Briscoe	Penske Racing	21.8041	21.6872	21.6202	21.6851	1:26.7966	168.394mph
2	2	Graham Rahal	Newman/Haas/Lanigan Racing	21.7247	21.7068	21.6090	21.8987	1:26.9392	168.117mph
3	11	Tony Kanaan	Andretti Green Racing	21.7845	21.7368	21.7356	21.8504	1:27.1073	167.793mph
4	9	Scott Dixon	Target Chip Ganassi Racing	21.8671	21.8000	21.8465	21.9610	1:27.4746	167.089mph
5	5	Mario Moraes	KV Racing Technologies	21.9028	21.8143	21.9584	21.9551	1:27.6306	166.791mph
6	27	Hideki Mutoh	Andretti Green Racing	22.0494	21.9353	21.9793	22.0103	1:27.9743	167.139mph
7	7	Danica Patrick	Andretti Green Racing	22.3295	22.1691	21.9981	21.9948	1:28.4915	166.168mph
8	10	Dario Franchitti	Target Chip Ganassi Racing	22.6200	22.2715	21.9506	21.8980	1:28.7401	165.706mph
9	2	Raphael Matos (R)	Luczo Dragon Racing	22.2420	22.1679	22.1693	22.1798	1:28.7590	165.671mph
10	23	Tomas Scheckter	Dreyer & Reinbold Racing	22.2038	22.4601	22.3124	22.5221	1:29.4984	163.310mph
11	24	Mike Conway (R)	Dreyer & Reinbold Racing	22.6558	22.4316	22.4583	22.5724	1:30.1181	162.187mph
12	6	Robert Doornbos (R)	Newman/Haas/Lanigan Racing	22.7480	22.5352	22.5247	22.6056	1:30.4135	161.657mph
13	26	Marco Andretti	Andretti Green Racing	22.4908	22.6171	22.6032	22.7731	1:30.4842	161.531mph
14	4	Dan Wheldon	Panther Racing	22.9546	22.6938	22.4314	22.4593	1:30.5391	161.433mph
15	18	Justin Wilson	Dale Coyne Racing	22.8803	22.6073	22.3855	22.6781	1:30.5512	161.411mph
16	14	Paul Tracy	A.J. Foyt Enterprises	22.9360	22.7290	22.6500	22.5814	1:30.8964	160.798mph
17	13	E.J. Viso	HVM Racing	23.0394	22.6623	22.5971	22.6286	1:30.9274	160.744mph
18	21	Ryan Hunter-Reay	Vision Racing	22.9088	22.6849	22.8597	22.6794	1:31.1328	160.381mph
19	20	Ed Carpenter	Vision Racing	22.8512	22.7570	22.7921	22.9049	1:31.3052	160.079mph
20	3	Hélio Castroneves	Penske Racing	No Time	No Time	No Time	No Time	No Time	Accident
WD	98	Stanton Barrett (R)	Team 3G	No Time	No Time	No Time	No Time	Withdrew	Practice Accident
