Res.	Record	Opponent	Method	Event	Round	Time	Location
Loss	25-9-1	Matt Brown	KO (punches)	UFC Fight Night: Shogun vs. Sonnen	1	0:29	Boston, Massachusetts, United States
Win	25-8-1	Rick Story	Decision (split)	UFC 160	3	5:00	Las Vegas, Nevada, United States
Win	24-8-1	James Head	TKO (knee & punches)	The Ultimate Fighter 16 Finale	1	1:55	Las Vegas, Nevada, United States
Win	23-8-1	Josh Neer	KO (punch)	UFC on FX: Johnson vs. McCall	1	4:56	Sunrise, Florida , United States
Win	22-8-1	Ricardo Funch	TKO (knee & punches)	UFC 142	1	1:22	Rio de Janeiro, Brazil
Loss	21-8-1	Rory MacDonald	TKO (punches)	UFC 133	1	3:54	Philadelphia, Pennsylvania, United States
Win	21-7-1	Ricardo Almeida	Decision (unanimous)	UFC 128	3	5:00	Newark, New Jersey , United States
Win	20-7-1	John Hathaway	Decision (unanimous)	UFC 120	3	5:00	London, England
Win	19-7-1	Jesse Lennox	Technical Submission (triangle choke)	UFC 115	3	4:44	Vancouver, British Columbia , Canada
Loss	18-7-1	Jake Ellenberger	TKO (punches)	UFC 108	2	0:22	Las Vegas, Nevada, United States
Win	18-6-1	Chris Wilson	Submission (guillotine choke)	UFC Fight Night: Diaz vs. Guillard	3	2:15	Oklahoma City, Oklahoma, United States
Loss	17-6-1	Brock Larson	Submission (arm triangle choke)	UFC 98	1	3:06	Las Vegas, Nevada, United States
Win	17-5-1	Brian Gassaway	Submission (armbar)	SuperFights MMA - Night of Combat 2	1	4:21	Las Vegas, Nevada, United States
Win	16-5-1	J.J. Ambrose	Submission (rear naked choke)	Affliction: Banned	1	2:51	Anaheim, California , United States
Win	15-5-1	Dan Hornbuckle	Submission (triangle choke)	World Victory Road Presents: Sengoku 2	1	4:52	Tokyo, Japan
Win	14-5-1	Damir Mirenic	Submission (kimura)	HCF - Destiny	2	1:24	Calgary, Alberta , Canada
Loss	13-5-1	Jake Shields	Submission (rear naked choke)	EliteXC: Renegade	1	3:39	Corpus Christi, Texas , United States
Win	13-4-1	Aaron Wetherspoon	Decision (unanimous)	Strikeforce: Shamrock vs. Baroni	3	5:00	San Jose, California , United States
Win	12-4-1	Ross Ebañez	Submission (rear naked choke)	EliteXC Destiny	1	1:55	Southaven, Mississippi , United States
Loss	11-4-1	Matt Horwich	Submission (rear naked choke)	IFL: World Championship Semifinals	2	1:02	Portland, Oregon, United States
Win	11-3-1	John Cole	Technical Submission (guillotine choke)	IFL : Portland	1	0:17	Portland, Oregon, United States
Loss	10-3-1	Rory Markham	KO (punch)	IFL: Legends Championship 2006	1	0:44	Atlantic City, New Jersey, United States
Win	10-2-1	Gustavo Machado	TKO (punches)	GFC: Team Gracie vs. Team Hammer House	1	1:20	Columbus, Ohio, United States
Win	9-2-1	Shonie Carter	Submission (triangle choke)	WEC 18	1	2:06	Lemoore, California , United States
Win	8-2-1	Bret Bergmark	Submission (triangle choke)	WEC 17	1	3:36	Lemoore, California, United States
Win	7-2-1	Tony Sanza	Submission (rear naked choke)	SportFight 12	1	1:06	Portland, Oregon, United States
Win	6-2-1	Damian Hatch	Submission (rear naked choke)	SportFight 10	1	2:07	Gresham, Oregon , United States
Win	5-2-1	Patrick Suhl	KO (punches)	Viking Fight 5	1	1:31	Copenhagen, Denmark
Win	4-2-1	Petras Markevičius	Submission (triangle choke)	Viking Fight 5	2	0:55	Copenhagen, Denmark
Win	3-2-1	Arschak Dahabagian	Submission (triangle choke)	Viking Fight 4	2	3:39	Copenhagen, Denmark
Loss	2-2-1	Valdas Pocevičius	Submission (guillotine choke)	Shooto	1	3:37	Vilnius , Lithuania
Draw	2-1-1	Andrei Semenov	Draw	M-1 Mix Fight Championship: Russia vs. the World 5	1	10:00	St. Petersburg , Leningrad Oblast , Russia
Win	2-1	Daan Kooiman	Submission (rear naked choke)	Viking Fight 3	1	0:49	Aarhus , Denmark
Win	1-1	Jon Fitch	Submission (rear naked choke)	Revolution Fighting Championship 1	1	2:35	Las Vegas, Nevada, United States
Loss	0-1	Quinton Jackson	Decision (unanimous)	International Sport Combat Federation: Memphis	3	5:00	Memphis, Tennessee, United States
