Week	Date	Opponent	Location	Final Score	Attendance	Record
1	August 5	Tiger-Cats	Exhibition Stadium	L 18–8	28594	0–1–0
2	August 12	Alouettes	Exhibition Stadium	L 17–6	24139	0–2–0
3	August 20	@ Tiger-Cats	Ivor Wynne Stadium	L 23–10	22261	0–3–0
4	August 30	@ Rough Riders	Landsdowne Park	L 24–0	20137	0–4–0
5	September 5	@ Stampeders	McMahon Stadium	L 13–8	20000	0–5–0
6	September 11	Eskimos	Exhibition Stadium	W 34–14	21685	1–5–0
7	September 18	@ Roughriders	Taylor Field	L 23–7	19339	1–6–0
8	September 21	@ Blue Bombers	Winnipeg Stadium	L 43–9	17112	1–7–0
8	September 25	Lions	Exhibition Stadium	W 29–27	18926	2–7–0
9	October 1	Rough Riders	Exhibition Stadium	L 17–8	20786	2–8–0
10	October 10	@ Alouettes	Molson Stadium	W 9–8	14000	3–8–0
11	October 15	Alouettes	Exhibition Stadium	L 27–11	16000	3–9–0
12	October 23	Rough Riders	Exhibition Stadium	W 35–12	16064	4–9–0
