Place	Player	Country	Score	To par
1	Justin Leonard	United States	72-66-69=207	–9
2	Rich Beem	United States	72-66-72=210	–6
3	Fred Funk	United States	68-70-73=211	–5
T4	Mark Calcavecchia	United States	70-68-74=212	–4
T4	Tiger Woods	United States	71-69-72=212	–4
6	Chris Riley	United States	71-70-72=213	–3
T7	José Cóceres	Argentina	72-71-72=215	–1
T7	Steve Lowery	United States	71-71-73=215	–1
T7	Rocco Mediate	United States	72-73-70=215	–1
T10	Jim Furyk	United States	68-73-76=217	+1
T10	Retief Goosen	South Africa	69-69-79=217	+1
T10	Peter Lonard	Australia	69-73-75=217	+1
