Round	Overall	Player	Position	School/Club Team
1	21	Marvin Upshaw	Defensive End	Trinity
2	47	John Garlington	Linebacker	LSU
3	64	Harry Olszewski	Guard	Clemson
3	66	Reece Morrison	Running Back	Texas State
4	104	Wayne Meylan	Linebacker	Nebraska
5	131	Mike Wempe	Tackle	Missouri
5	134	Jackie Jackson	Running Back	Clemson
6	152	Nate James	Defensive Back	Florida A&M
7	186	Dale Brady	Running Back	Memphis
8	212	Tom Schoen	Defensive Back	Notre Dame
9	238	David Porter	Defensive Tackle	Michigan
10	255	James Greer	Defensive End	Stephen F. Austin
10	267	Alvin Mitchell	Defensive Back	Morgan State
11	293	Jim Alcorn	Quarterback	Clarion
12	319	Tom Beutler	Linebacker	Toledo
13	348	Terry Sellers	Defensive Back	Georgia
14	374	Edgar Whipps	Running Back	Jackson State
15	400	Bob Baxter	Flanker	Memphis
16	429	Dick Sievert	Defensive End	Wisconsin-River Falls
17	455	Wayne McDuffie	Center	Florida State
