Driver	Team	Laps	Time/Retired	Grid	Points
Paul Tracy	Team Player's	90	1:56:01.792	2	21
Adrian Fernández	Fernández Racing	90	+4.5 secs	7	16
Bruno Junqueira	Newman/Haas Racing	90	+13.7 secs	4	14
Jimmy Vasser	American Spirit Team Johansson	90	+21.0 secs	14	12
Mario Domínguez	Herdez Competition	90	+22.2 secs	11	10
Patrick Carpentier	Team Player's	90	+22.7 secs	6	8
Ryan Hunter-Reay	American Spirit Team Johansson	90	+25.7 secs	12	6
Darren Manning	Walker Racing	90	+33.4 secs	10	5
Mario Haberfeld	Mi-Jack Conquest Racing	90	+48.6 secs	15	4
Alex Tagliani	Rocketsports Racing	89	+ 1 Lap	3	3
Tiago Monteiro	Fittipaldi-Dingman Racing	88	+ 2 Laps	16	2
Oriol Servià	Patrick Racing	87	Mechanical	8	1
Patrick Lemarié	PK Racing	87	+ 3 Lap	13	0
Joël Camathias	Dale Coyne Racing	84	+ 6 Laps	18	0
Michel Jourdain, Jr.	Team Rahal	83	Mechanical	1	2
Sébastien Bourdais	Newman/Haas Racing	70	Mechanical	5	0
Roberto Moreno	Herdez Competition	36	Contact	9	0
Rodolfo Lavín	Walker Racing	35	Contact	17	0
Alex Yoong	Dale Coyne Racing	32	Contact	19	0
