Year	Series	Winning team	Losing team	Score	Site
1985	ALCS	Kansas City Royals	Toronto Blue Jays	6–2	Exhibition Stadium , Toronto, Ontario
1986	ALCS	Boston Red Sox	California Angels	8–1	Fenway Park , Boston, Massachusetts
1987	NLCS	St. Louis Cardinals	San Francisco Giants	5–3	Busch Stadium (II) , St. Louis, Missouri
1988	NLCS	Los Angeles Dodgers	New York Mets	6–0	Dodger Stadium , Los Angeles, California
1991	NLCS	Atlanta Braves	Pittsburgh Pirates	4–0	Three Rivers Stadium , Pittsburgh, Pennsylvania
1992	NLCS	Atlanta Braves	Pittsburgh Pirates	3–2	Atlanta-Fulton County Stadium , Atlanta, Georgia
1996	NLCS	Atlanta Braves	St. Louis Cardinals	15–0	Atlanta-Fulton County Stadium , Atlanta, Georgia
2003	ALCS	New York Yankees	Boston Red Sox	6–5 F/11	Yankee Stadium , New York City, New York
2003	NLCS	Florida Marlins	Chicago Cubs	9–6	Wrigley Field , Chicago, Illinois
2004	ALCS	Boston Red Sox	New York Yankees	10–3	Yankee Stadium , New York City, New York
2004	NLCS	St. Louis Cardinals	Houston Astros	5–2	Busch Stadium (II) , St. Louis, Missouri
2006	NLCS	St. Louis Cardinals	New York Mets	3–1	Shea Stadium , Queens, New York
2007	ALCS	Boston Red Sox	Cleveland Indians	11–2	Fenway Park , Boston, Massachusetts
2008	ALCS	Tampa Bay Rays	Boston Red Sox	3–1	Tropicana Field , St. Petersburg, Florida
2012	NLCS	San Francisco Giants	St. Louis Cardinals	9–0	AT&T Park , San Francisco, California
