Position	Team	Played	Drawn	Lost	Goals For	Goals Against	Goal Difference	Points 1
1	Boston United	44	11	6	82	35	+47	65
2	Northwich Victoria	44	11	6	85	43	+42	65
3	Matlock Town	44	11	7	108	57	+51	63
4	Bangor City	44	11	11	87	52	+35	55
5	Scarborough	44	12	11	77	66	+11	53
6	Goole Town	44	6	15	64	50	+14	52
7	Lancaster City	44	9	14	71	58	+13	51
8	Gateshead United	44	12	14	80	64	+16	48
9	Mossley	44	14	13	74	59	+15	48
10	Altrincham	44	9	16	60	53	+7	47
11	Stafford Rangers	44	14	14	60	55	+5	46
12	Runcorn	44	14	15	58	50	+8	44
13	Worksop Town	44	12	16	50	58	−8	44
14	Wigan Athletic	44	15	15	62	54	+8	43
15	Morecambe	44	11	20	59	75	−16	37
16	Gainsborough Trinity	44	10	21	58	74	−16	36
17	Great Harwood	44	14	19	63	84	−21	36
18	Buxton	44	13	20	48	63	−15	35
19	Macclesfield Town	44	15	21	41	68	−27	31
20	Frickley Athletic	44	8	25	53	93	−40	30
21	Barrow	44	6	27	56	87	−31	28
22	South Liverpool	44	8	26	51	104	−53	28
23	Netherfield	44	8	27	47	92	−45	26
