Member	Party	Electorate	State	First elected
Frederick Bamford	Labor	Herbert	Qld	1901
Lee Batchelor	Labor	Boothby	SA	1901
Robert Blackwood	Free Trade	Riverina	NSW	1903
Sir Langdon Bonython *	Protectionist	Barker	SA	1901
Rt Hon Sir Edward Braddon	Free Trade	Wilmot	Tas	1901
Thomas Brown *	Labor	Canobolas	NSW	1901
Norman Cameron	Free Trade/Independent	Wilmot	Tas	1901
William Carpenter	Labor	Fremantle	WA	1903
Austin Chapman *	Protectionist	Eden-Monaro	NSW	1901
Alfred Conroy	Free Trade	Werriwa	NSW	1901
James Cook	Protectionist	Bourke	Vic	1901
Hon Joseph Cook	Free Trade	Parramatta	NSW	1901
Richard Crouch	Protectionist	Corio	Vic	1901
Dr Millice Culpin	Labor	Brisbane	Qld	1903
Hon Alfred Deakin *	Protectionist	Ballarat	Vic	1901
George Edwards	Free Trade	South Sydney	NSW	1901
Richard Edwards	Protectionist/Free Trade	Oxley	Qld	1901
Thomas Ewing	Protectionist	Richmond	NSW	1901
Andrew Fisher	Labor	Wide Bay	Qld	1901
Rt Hon Sir John Forrest *	Protectionist	Swan	WA	1901
James Fowler	Labor	Perth	WA	1901
Charles Frazer	Labor	Kalgoorlie	WA	1903
George Fuller *	Free Trade	Illawarra	NSW	1901
Hon Sir Philip Fysh	Protectionist/Free Trade	Denison	Tas	1901
Patrick Glynn *	Free Trade	Angas	SA	1901
James Gibb	Free Trade	Flinders	Vic	1903
Littleton Groom *	Protectionist	Darling Downs	Qld	1901
Robert Harper	Protectionist	Mernda	Vic	1901
H.B. Higgins	Protectionist	Northern Melbourne	Vic	1901
Hon Frederick Holder *	Independent	Wakefield	SA	1901
Billy Hughes	Labor	West Sydney	NSW	1901
James Hutchison	Labor	Hindmarsh	SA	1903
Hon Isaac Isaacs *	Protectionist	Indi	Vic	1901
Elliot Johnson	Free Trade	Lang	NSW	1903
Willie Kelly	Free Trade	Wentworth	NSW	1903
Thomas Kennedy	Protectionist	Moira	Vic	1901
Rt Hon Charles Kingston *	Protectionist	Adelaide	SA	1901
William Knox	Free Trade	Kooyong	Vic	1901
Henry Lee	Free Trade	Cowper	NSW	1903
Dr Frank Liddell	Free Trade	Hunter	NSW	1903
Edmund Lonsdale	Free Trade	New England	NSW	1903
Hon Sir William Lyne	Protectionist	Hume	NSW	1901
James McCay *	Protectionist/Free Trade	Corinella	Vic	1901
James McColl	Protectionist/Free Trade	Echuca	Vic	1901
Charles McDonald	Labor	Kennedy	Qld	1901
William McWilliams	Revenue Tariff/Free Trade	Franklin	Tas	1903
Sir Malcolm McEacharn	Protectionist	Melbourne	Vic	1901
Allan McLean *	Protectionist/Free Trade	Gippsland	Vic	1901
Hugh Mahon *	Labor	Coolgardie	WA	1901
Samuel Mauger	Protectionist	Melbourne Ports	Vic	1901
King O'Malley	Labor	Darwin	Tas	1901
Jim Page	Labor	Maranoa	Qld	1901
Pharez Phillips	Protectionist	Wimmera	Vic	1901
Alexander Poynton *	Free Trade/Labor	Grey	SA	1901
Sir John Quick	Protectionist	Bendigo	Vic	1901
Rt Hon George Reid	Free Trade	East Sydney	NSW	1901
Arthur Robinson	Free Trade	Wannon	Vic	1903
James Ronald	Labor/Independent	Southern Melbourne	Vic	1901
Dr Carty Salmon	Protectionist	Laanecoorie	Vic	1901
Thomas Skene	Free Trade	Grampians	Vic	1901
Bruce Smith	Free Trade	Parkes	NSW	1901
Sydney Smith	Free Trade	Macquarie	NSW	1901
William Spence	Labor	Darling	NSW	1901
David Storrer	Protectionist	Bass	Tas	1901
Josiah Thomas	Labor	Barrier	NSW	1901
David Thomson	Labor	Capricornia	Qld	1903
Dugald Thomson *	Free Trade	North Sydney	NSW	1901
Rt Hon Sir George Turner *	Protectionist	Balaclava	Vic	1901
Frank Tudor	Labor	Yarra	Vic	1901
David Watkins	Labor	Newcastle	NSW	1901
Chris Watson	Labor	Bland	NSW	1901
William Webster	Labor	Gwydir	NSW	1903
James Wilkinson	Independent/Labor	Moreton	Qld	1901
William Wilks	Free Trade	Dalley	NSW	1901
Henry Willis	Free Trade	Robertson	NSW	1901
Dr Gratton Wilson	Free Trade	Corangamite	Vic	1903
