Brand	Product Name	Focal Length	35mm EFL and equivalent aperture	Max. aperture
Voigtlander	Voigtlander Nokton 17.5mm f /0.95	17.5mm	35mm f /1.9	f /0.95
Voigtlander	Voigtlander Nokton 25mm f /0.95	25mm	50mm f /1.9	f /0.95
Voigtlander	Voigtlander Nokton 42.5mm f /0.95	42.5mm	85mm f /1.9	f /0.95
SLR Magic	SLR Magic HyperPrime CINE 12mm T1.6	12mm	24mm f /3.2	f /1.6
SLR Magic	SLR Magic HyperPrime CINE 25mm T0.95	25mm	50mm f /1.9	f /0.95
SLR Magic	SLR Magic 35mm T f/1.4	35mm	70mm f /2.8	f /1.4
SLR Magic	SLR Magic HyperPrime CINE 35mm T0.95	35mm	70mm f /1.9	f /0.95
SLR Magic	SLR Magic HyperPrime 50mm F0.95	50mm	100mm f /1.9	f /0.95
Mitakon	Mitakon 35mm F0.95	35mm	70mm f /1.9	f /0.95
Tokina	Tokina Reflex 300mm F6.3 MF Macro	300mm f /12.6	600mm	f /6.3
