#	-	Name	Party	Term in office	The Times overall	Matthew Parris	Peter Riddell	Ben MacIntyre
1	1	Robert Walpole	Whig	1721–1742	9	14	16	7
3	3	Henry Pelham	Whig	1743–1754	29	19	34	20
5	5	William Cavendish, 4th Duke of Devonshire	Whig	1756–1757	44	35	44	47
6	7	John Stuart, 3rd Earl of Bute	Tory	1762–1763	46	44	49	40
7	8	George Grenville	Whig	1763–1765	48	51	48	39
9	10	William Pitt, 1st Earl of Chatham	Whig	1766–1768	16	25	14	18
10	11	Augustus FitzRoy, 3rd Duke of Grafton	Whig	1768–1770	49	42	50	49
11	12	Frederick North, Lord North	Tory	1770–1782	50	49	37	44
12	14	William Petty, 2nd Earl of Shelburne	Whig	1782–1783	26	29	41	5
13	15 20	William Cavendish-Bentinck, 3rd Duke of Portland	Whig	1783 1807–1809	39	27	43	37
14	16 18	William Pitt the Younger	Tory	1783–1801 1804–1806	4	12	5	3
15	17	Henry Addington, 1st Viscount Sidmouth	Tory	1801–1804	39	36	39	36
16	19	William Grenville, 1st Baron Grenville	Whig	1806–1807	43	39	40	35
17	21	Spencer Perceval	Tory	1809–1812	36	38	47	33
18	22	Robert Jenkinson, 2nd Earl of Liverpool	Tory	1812–1827	19	22	22	15
19	23	George Canning	Tory	1827	31	8	36	23
21	25 28	Arthur Wellesley, 1st Duke of Wellington	Tory	1828–1830 1834	24	18	30	17
22	26	Charles Grey, 2nd Earl Grey	Whig	1830–1834	8	9	10	6
23	27 30	William Lamb, 2nd Viscount Melbourne	Whig	1834 1835–1841	25	26	21	32
24	29 31	Robert Peel	Conservative	1834–1835 1841–1846	6	6	8	8
25	32	John Russell, 1st Earl Russell	Whig	1846–1852	21	15	29	14
26	33 36 39	Edward Smith-Stanley, 14th Earl of Derby	Conservative	1852 1858–1859 1866–1868	18	23	19	16
27	34	George Hamilton-Gordon, 4th Earl of Aberdeen	Peelite	1852–1855	42	41	31	43
28	35 37	Henry John Temple, 3rd Viscount Palmerston	Whig Liberal	1855–1858 1859–1865	13	11	20	11
29	38	John Russell, 1st Earl Russell	Whig	1865–1866	21	15	29	14
30	40 42	Benjamin Disraeli	Conservative	1868 1874–1880	10	7	6	9
31	41 43 45 47	William Ewart Gladstone	Liberal	1868–1874 1880–1885 1886 1892–1894	3	4	2	4
32	44 46 49	Robert Cecil, 3rd Marquess of Salisbury	Conservative	1885–1886 1886–1892 1895–1902	11	10	12	25
33	48	Archibald Primrose, 5th Earl of Rosebery	Liberal	1894–1895	45	46	46	50
34	50	Arthur Balfour	Conservative	1902–1905	30	28	38	31
35	51	Henry Campbell-Bannerman	Liberal	1905–1908	22	24	26	30
36	52	H. H. Asquith	Liberal	1908–1916	11	21	9	26
37	53	David Lloyd George	Liberal	1916–1922	2	2	3	2
38	54	Bonar Law	Conservative	1922–1923	34	47	35	24
39	55 57 59	Stanley Baldwin	Conservative	1923–1924 1924–1929 1935–1937	14	20	11	13
40	56 58	Ramsay MacDonald	Labour	1924 1929–1935	33	48	33	29
41	60	Neville Chamberlain	Conservative	1937–1940	35	45	28	52
42	61 63	Winston Churchill	Conservative	1940–1945 1951–1955	1	1	1	1
43	62	Clement Attlee	Labour	1945–1951	7	5	7	22
44	64	Anthony Eden	Conservative	1955–1957	47	43	45	48
45	65	Harold Macmillan	Conservative	1957–1963	15	17	13	21
46	66	Alec Douglas-Home	Conservative	1963–1964	36	32	27	34
47	67 69	Harold Wilson	Labour	1964–1970 1974–1976	20	33	17	19
48	68	Edward Heath	Conservative	1970–1974	23	13	18	46
49	70	James Callaghan	Labour	1976–1979	27	31	24	27
50	71	Margaret Thatcher	Conservative	1979–1990	5	3	4	10
51	72	John Major	Conservative	1990–1997	28	16	23	28
52	73	Tony Blair	Labour	1997–2007	16	34	15	12
