Rank	Nation	Gold	Silver	Bronze	Total
1	Hungary	7	1	4	12
2	Germany	6	3	4	13
3	Canada	5	1	0	6
4	Russia	2	7	3	12
5	Poland	2	3	4	9
6	Romania	2	1	1	4
7	Brazil	2	0	1	3
8	Austria	2	0	0	2
9	Great Britain	1	4	1	6
10	Belarus	1	3	4	8
11	Azerbaijan	1	3	0	4
12	Spain	1	2	3	6
13	Lithuania	1	1	0	2
13	New Zealand	1	1	0	2
15	Ukraine	1	0	3	4
16	France	1	0	0	1
16	Slovakia	1	0	0	1
18	United States	0	2	1	3
19	Sweden	0	2	0	2
20	Australia	0	1	2	3
20	Italy	0	1	2	3
22	Bulgaria	0	1	1	2
23	Czech Republic	0	1	0	1
24	Denmark	0	0	1	1
24	Norway	0	0	1	1
24	Uzbekistan	0	0	1	1
Total	Total	37	37	37	111
