Rank	City	Population	Country	Area (km²)
1	Tokyo	36,669,000	Japan	13,500
2	Shanghai	16,575,000	China	3,920
3	Beijing	12,385,000	China	7,860
4	Manila	11,628,000	Philippines	640
5	Osaka–Kobe	11,337,000	Japan	1,220
6	Seoul	9,773,000	South Korea	610
7	Chongqing	9,401,000	China	7,490
8	Jakarta ( Jabodetabek )	9,210,000	Indonesia	1,360
9	Shenzhen	9,005,000	China	1,950
10	Guangzhou	8,884,000	China	7,260
11	Tianjin	7,884,000	China	7,130
12	Wuhan	7,681,000	China	8,490
13	Hong Kong	7,069,000	Hong Kong	1,100
14	Bangkok	6,976,000	Thailand	1,570
15	Ho Chi Minh City	6,167,000	Vietnam	2,090
16	Dongguan	5,347,000	China	2,460
17	Shenyang	5,166,000	China	3,460
18	Foshan	4,969,000	China	3,813
19	Chengdu	4,961,000	China	2,130
20	Singapore	4,837,000	Singapore	690
21	Xi'an	4,747,000	China	3,550
22	Nanjing	4,591,000	China	6,600
23	Yangon	4,350,000	Burma	350
24	Harbin	4,251,000	China	4,280
25	Hangzhou	3,860,000	China	3,068
26	Changchun	3,597,000	China	3,616
27	Shantou	3,502,000	China	1,956
28	Busan	760	South Korea	760
