Game	Date	Opponent	Result	Dolphins points	Opponents	Record	Attendance
1	Sept. 3	at New York Jets	Loss	20	33	0–1	49,598
2	Sept. 10	at Baltimore Colts	Win	42	0	1–1	47,730
3	Sept. 17	Buffalo Bills	Win	31	24	2–1	48,373
4	Sept. 24	at Philadelphia Eagles	Loss	3	17	2–2	62,998
5	Oct. 1	St. Louis Cardinals	Win	24	10	3–2	43,882
6	Oct. 9	Cincinnati Bengals	Win	21	0	4–2	54,729
7	Oct. 15	at San Diego Chargers	Win	28	21	5–2	50,637
8	Oct. 22	at New England Patriots	Loss	24	33	5–3	60,424
9	Oct. 29	Baltimore Colts	Win	26	8	6–3	53,524
10	Nov. 5	Dallas Cowboys	Win	23	16	7–3	69,414
11	Nov. 12	at Buffalo Bills	Win	25	24	8–3	48,623
12	Nov. 20	at Houston Oilers	Loss	30	35	8–4	50,290
13	Nov. 26	New York Jets	Loss	24	13	8–5	49,255
14	Dec. 3	at Washington Redskins	Win	16	0	9–5	52,860
15	Dec. 10	Oakland Raiders	Win	23	6	10–5	73,003
16	Dec. 18	New England Patriots	Win	23	3	11–5	72,071
