Game	Date	Team	Score	Record	Streak
1	October 9	Houston Rockets	107–105 (OT)	1–0	Win 1
2	October 12	@ Boston Celtics	112–118	1–1	Loss 1
3	October 13	Los Angeles Lakers	122–125	1–2	Loss 2
4	October 16	@ New York Knicks	91–117	1–3	Loss 3
5	October 20	Philadelphia 76ers	116–110	2–3	Win 1
6	October 24	@ Milwaukee Bucks	113–130	2–4	Loss 1
7	October 26	Cleveland Cavaliers (at Toronto, Canada)	104–97	3–4	Win 1
8	October 27	@ Cleveland Cavaliers	111–101	4–4	Win 2
9	October 28	@ Kansas City-Omaha Kings	112–100	5–4	Win 3
10	October 30	Seattle Supersonics	105–103	6–4	Win 4
