Player	Position	Date of Birth (Age)	Caps	Club/province
Ryo Yamamura	Prop	9 August 1981	34	Jubilo
Masahito Yamamoto	Prop	29 May 1978	25	Verblitz
Tomokazu Soma	Prop	5 June 1977	13	Wild Knights
Tatsukichi Nishiura	Prop	20 February 1976	7	West Red Sparks
Yuji Matsubara	Hooker	5 September 1979	19	Kobelco Steelers
Yusuke Aoki	Hooker	19 June 1983	2	Verblitz
Hitoshi Ono	Lock	6 May 1978	20	Brave Lupus
Takanori Kumagae	Lock	31 May 1978	25	Green Rockets
Luatangi Vatuvei	Lock	8 December 1977	20	Liners
Luke Thompson	Lock	16 April 1981	5	Liners
Yasunori Watanabe	Flanker	2 June 1974	30	Brave Lupus
Hajime Kiso	Flanker	7 November 1978	28	Jubilo
Hare Makiri	Flanker	31 May 1978	16	Fukuoka
Philip O'Reilly	Flanker	24 July 1980	5	Wild Knights
Takamichi Sasaki	Flanker	30 October 1983	5	Sungoliath
Takuro Miuchi ( c )	Number 8	11 December 1975	36	Green Rockets
Yuki Yatomi	Scrum-half	16 February 1985	7	Jubilo
Tomoki Yoshida	Scrum-half	22 February 1982	4	Brave Lupus
Kim Chul Won	Scrum-half	22 January 1984	0	Liners
Eiji Ando	Fly-half	14 May 1982	12	Green Rockets
Kousei Ono	Fly-half	17 April 1987	3	Fukuoka
Shotaro Onishi	Centre	18 November 1978	24	Jubilo
Nataniela Oto	Centre	16 May 1980	11	Brave Lupus
Yuta Imamura	Centre	31 October 1984	11	Kobelco Steelers
Koji Taira	Centre	12 January 1983	3	Sungoliath
Bryce Robins	Centre	19 September 1980	6	Black Rams
Hirotoki Onozawa	Wing	29 March 1978	35	Sungoliath
Kosuke Endo	Wing	11 November 1980	13	Verblitz
Tomoki Kitagawa	Wing	25 July 1983	2	Wild Knights
Christian Loamanu	Wing	13 May 1986	7	Saitama
Go Aruga	Fullback	13 November 1983	7	Sungoliath
