MLB season	Reds season	League	Division	Finish	Wins	Losses	Win%	GB [c ]
1882	1882	AA ‡	–	1st ‡	55	25	.688	—
1883	1883	AA	–	3rd	61	37	.622	5
1884	1884	AA	–	5th	68	41	.624	8
1885	1885	AA	–	2nd	63	49	.563	16
1886	1886	AA	–	5th	65	73	.471	27½
1887	1887	AA	–	2nd	81	54	.600	14
1888	1888	AA	–	4th	80	54	.597	11½
1889	1889	AA	–	4th	76	63	.547	18
1890	1890	NL	–	4th	77	55	.583	10½
1891	1891	NL	–	7th	56	81	.409	30½
1892	1892	NL	–	5th	82	68	.547	8½
1893	1893	NL	–	6th	65	63	.508	20½
1894	1894	NL	–	10th	55	75	.423	35
1895	1895	NL	–	8th	66	64	.508	21
1896	1896	NL	–	3rd	77	50	.606	12
1897	1897	NL	–	4th	76	56	.576	17
1898	1898	NL	–	3rd	92	60	.605	11½
1899	1899	NL	–	6th	83	67	.553	19
1900	1900	NL	–	7th	62	77	.446	21½
1901	1901	NL	–	8th	52	87	.374	37
1902	1902	NL	–	4th	70	70	.500	33½
1903	1903	NL	–	4th	74	65	.532	16½
1904	1904	NL	–	3rd	88	65	.575	18
1905	1905	NL	–	5th	79	74	.516	26
1906	1906	NL	–	6th	64	87	.424	51½
1907	1907	NL	–	6th	66	87	.431	41½
1908	1908	NL	–	5th	73	81	.474	26
1909	1909	NL	–	4th	77	76	.503	33½
1910	1910	NL	–	5th	75	79	.487	29
1911	1911	NL	–	6th	70	83	.458	29
1912	1912	NL	–	4th	75	78	.490	29
1913	1913	NL	–	7th	64	89	.418	37½
1914	1914	NL	–	8th	60	94	.390	34½
1915	1915	NL	–	7th	71	83	.461	20
1916	1916	NL	–	7th	60	93	.392	33½
1917	1917	NL	–	4th	78	76	.506	20
1918	1918	NL	–	3rd	68	60	.531	15½
1919 †	1919	NL *	–	1st *	96	44	.686	—
1920	1920	NL	–	3rd	82	71	.563	10½
1921	1921	NL	–	6th	70	83	.458	24
1922	1922	NL	–	2nd	86	68	.558	7
1923	1923	NL	–	2nd	91	63	.591	4½
1924	1924	NL	–	4th	83	70	.542	10
1925	1925	NL	–	3rd	80	73	.523	15
1926	1926	NL	–	2nd	87	67	.565	2
1927	1927	NL	–	5th	75	78	.490	18½
1928	1928	NL	–	5th	78	74	.513	16
1929	1929	NL	–	7th	66	88	.429	33
1930	1930	NL	–	7th	59	95	.383	33
1931	1931	NL	–	8th	58	96	.377	43
1932	1932	NL	–	8th	60	94	.390	30
1933	1933	NL	–	8th	58	94	.382	33
1934	1934	NL	–	8th	52	99	.344	42
1935	1935	NL	–	6th	68	85	.444	31½
1936	1936	NL	–	5th	74	80	.481	18
1937	1937	NL	–	8th	56	98	.364	40
1938	1938	NL	–	4th	82	68	.547	6
1939	1939	NL *	–	1st *	97	57	.630	—
1940 †	1940	NL *	–	1st *	100	53	.654	—
1941	1941	NL	–	3rd	88	66	.571	12
1942	1942	NL	–	4th	76	76	.500	29
1943	1943	NL	–	2nd	87	67	.565	18
1944	1944	NL	–	3rd	89	65	.578	16
1945	1945	NL	–	7th	61	93	.396	37
1946	1946	NL	–	6th	67	87	.435	30
1947	1947	NL	–	5th	73	81	.474	21
1948	1948	NL	–	7th	64	89	.418	27
1949	1949	NL	–	7th	62	92	.403	35
1950	1950	NL	–	6th	66	87	.431	24½
1951	1951	NL	–	6th	68	86	.442	28½
1952	1952	NL	–	6th	69	85	.448	27½
1953	1953	NL	–	6th	68	86	.442	37
1954	1954	NL	–	5th	74	80	.481	23
1955	1955	NL	–	5th	75	79	.487	23½
1956	1956	NL	–	3rd	91	63	.591	2
1957	1957	NL	–	4th	80	74	.519	15
1958	1958	NL	–	4th	76	78	.494	16
1959	1959	NL	–	5th	74	80	.481	13
1960	1960	NL	–	6th	67	87	.435	28
1961	1961	NL *	–	1st *	93	61	.604	—
1962	1962	NL	–	3rd	98	64	.605	3½
1963	1963	NL	–	5th	86	76	.531	13
1964	1964	NL	–	2nd	92	70	.568	1
1965	1965	NL	–	4th	89	73	.549	8
1966	1966	NL	–	7th	76	84	.475	18
1967	1967	NL	–	4th	87	75	.537	14½
1968	1968	NL	–	4th	83	79	.512	14
1969	1969	NL	West [d ]	3rd	89	73	.549	4
1970	1970	NL *	West ^	1st ^	102	60	.630	—
1971	1971	NL	West	4th	79	83	.488	11
1972 [e ]	1972	NL *	West ^	1st ^	95	59	.617	—
1973	1973	NL	West ^	1st ^	99	63	.611	—
1974	1974	NL	West	2nd	98	64	.605	4
1975 †	1975	NL *	West ^	1st ^	108	54	.667	—
1976 †	1976	NL *	West ^	1st ^	102	60	.630	—
1977	1977	NL	West	2nd	88	74	.543	10
1978	1978	NL	West	2nd	92	69	.571	2½
1979	1979	NL	West ^	1st ^	90	71	.559	—
1980	1980	NL	West	3rd	89	73	.549	3½
1981 [f ]	1981	NL	West	1st	66	42	.611	1½
1982	1982	NL	West	6th	61	101	.377	28
1983	1983	NL	West	6th	74	88	.457	17
1984	1984	NL	West	5th	70	92	.432	22
1985	1985	NL	West	2nd	89	72	.553	5½
1986	1986	NL	West	2nd	86	76	.531	10
1987	1987	NL	West	2nd	84	78	.519	6
1988	1988	NL	West	2nd	87	74	.540	7
1989	1989	NL	West	5th	75	87	.463	17
1990 †	1990	NL *	West ^	1st ^	91	71	.562	—
1991	1991	NL	West	5th	74	88	.457	20
1992	1992	NL	West	2nd	90	72	.556	8
1993	1993	NL	West	5th	73	89	.451	31
1994 [g ]	1994	NL	Central [h ]	1st	66	48	.579	—
1995	1995	NL	Central ^	1st ^	85	59	.590	—
1996	1996	NL	Central	3rd	81	81	.500	7
1997	1997	NL	Central	3rd	76	86	.469	8
1998	1998	NL	Central	4th	77	85	.475	25
1999 [i ]	1999	NL	Central	2nd	96	67	.589	1½
2000	2000	NL	Central	2nd	85	77	.525	10
2001	2001	NL	Central	5th	66	96	.407	27
2002	2002	NL	Central	3rd	78	84	.481	19
2003	2003	NL	Central	5th	69	93	.426	19
2004	2004	NL	Central	4th	76	86	.469	29
2005	2005	NL	Central	5th	73	89	.451	27
2006	2006	NL	Central	3rd	80	82	.494	3½
2007	2007	NL	Central	5th	72	90	.444	13
2008	2008	NL	Central	5th	74	88	.457	23½
2009	2009	NL	Central	4th	78	84	.481	13
2010	2010	NL	Central ^	1st ^	91	71	.562	—
