Season	Competition	Round	Club	Home result	Away result
1964-1965	European Cup Winners Cup	1R	Esbjerg fB	1–0	0–0
1964-1965	European Cup Winners Cup	2R	Sporting Lisbon	0-0	2-1
1964-1965	European Cup Winners Cup	QF	Real Zaragoza	0-1	2-2
1965-66	European Cup Winners Cup	1R	Standard Liege	1–2	0–1
1967-68	European Cup Winners Cup	1R	Shamrock Rovers	2–0	1–1
1967-68	European Cup Winners Cup	2R	NAC Breda	4–1	1–1
1967-68	European Cup Winners Cup	QF	Torpedo Moscow	1–0	0–1
1967-68	European Cup Winners Cup	SF	Hamburg SV	2–3	1–1
1968-69	European Cup Winners Cup	1R	FC Porto	2–2	1–2
1969-70	European Cup Winners Cup	1R	Mjøndalen IF	5–1	7–1
1969-70	European Cup Winners Cup	2R	Göztepe A.Ş.	1–0	0–3
1970-71	European Cup Winners Cup	1R	Pezoporikos Larnaca	8–0	0–0
1970-71	European Cup Winners Cup	2R	FC Nantes	5–1	2–1
1970-71	European Cup Winners Cup	QF	Real Madrid	1–0	0–2
1971-72	European Cup Winners Cup	1R	SC Dynamo Berlin	1–1	1–1
1973-74	European Cup Winners Cup	1R	Sporting Lisbon	0–0	1–2
1974-75	European Cup Winners Cup	1R	Ferencvaros	0–2	1–4
1976-77	European Cup Winners Cup	QR	Servette Geneva	1–0	1-2
1976-77	European Cup Winners Cup	1R	Dinamo Tbilisi	1–0	0–3
1977-78	European Cup Winners Cup	1R	Austria Vienna	0–0	0–1
1988-89	European Cup Winners Cup	1R	Derry City	4–0	0–0
1988-89	European Cup Winners Cup	2R	AGF Aarhus	1–2	0–4
1992-93	European Cup Winners Cup	1R	Admira Wacker	1–1	0–2
1993-94	European Cup Winners Cup	1R	Standard Liege	1–3	2–5
