Year Location	Mens Singles	Womens Singles	Mens Doubles	Womens Doubles
2012 Doha	Xu Xin	Chen Meng	Ma Lin Xu Xin	Li Xiaodan Wen Jia
2011 Doha	Xu Xin	Liu Shiwen	Wang Liqin Xu Xin	Guo Yue Li Xiaoxia
2010 Doha	Wang Liqin	Guo Yue	Ma Lin Wang Hao	Ding Ning Liu Shiwen
2009 Doha	Timo Boll	Zhang Yining	Ma Long Xu Xin	Guo Yue Zhang Yining
2008 Doha	Ma Lin	Zhang Yining	Chen Qi Ma Lin	Guo Yue Zhang Yining
2007 Doha	Ma Lin	Li Xiaoxia	Cho Eon-Rae Lee Jung-Woo	Li Xiaoxia Wang Nan
2006 Doha	Wang Liqin	Zhang Yining	Wang Hao Wang Liqin	Wang Nan Zhang Yining
2005 Doha	Wang Liqin	Zhang Yining	Kong Linghui Wang Hao	Guo Yue Niu Jianfeng
2003 Doha	Vladimir Samsonov	Tamara Boros	Kalinikos Kreanga Jörg Roßkopf	Tatyana Logatzkaya Veronika Pavlovich
2002 Doha	Jean-Michel Saive	Wang Nan	Wang Liqin Yan Sen	Li Jia Niu Jianfeng
2001 Doha	Zoran Primorac	Kim Hyon-Hui	Chang Yen-Shu Chiang Peng-Lung	Kim Moo-Kyo Ryu Ji-Hae
1999 Doha	Zoran Primorac	Jing Tian-Zorner	Chang Yen-Shu Chiang Peng-Lung	Csilla Bátorfi Krisztina Tóth
1998 Doha	Zoran Primorac	Li Ju	Wang Liqin Yan Sen	Li Ju Wang Nan
