Background	Original Team	Hometown	Result	Raised
Comedienne	Athena	Brooklyn, New York	16 The Celebrity Apprentice (2009-05-10)	$526,547.39
Poker Player	Athena	Concord, New Hampshire	15 Fired in the Season Finale (2009-05-10)	$730,725
Entrepreneur & TV Star	KOTU	Long Beach, California	14 Fired in task 12 (2009-05-03)	$20,000
Playboy Playmate	Athena	Novato, California	13 Fired in task 12 (2009-05-03)	$166,450
Country Singer	KOTU	Houston, Texas	12 Fired in task 11 (2009-05-03)	$20,000
TV Host & Producer	Athena	New York, New York	11 Fired in task 10 (2009-04-26)	07
Former Football Player	KOTU	Wrightsville, Georgia	10 Fired in task 9 (2009-04-19)	06
Professional golfer	Athena	Sacramento, California	09 Fired in task 8 (2009-04-19)	$20,000
R&B Singer	KOTU	Buffalo, New York	08 Fired in task 7 (2009-04-12)	$20,000
Reality Television Star	Athena	Los Angeles, California	07 Fired in task 6 (2009-04-05)	$40,000
R&B Star ( TLC )	Athena	Atlanta, Georgia	06 Fired in task 6 (2009-04-05)	$20,000
Former Basketball Player	KOTU	Trenton, New Jersey	05 Fired in task 5 (2009-03-29)	05
Model ( Deal or No Deal )	Athena	Providence, Rhode Island	04 Fired in task 4 (2009-03-22)	04
Comedian & Actor	KOTU	Pembroke, Ontario	03 Fired in task 3 (2009-03-15)	03
Figure Skating Champion	KOTU	Bowling Green, Ohio	02 Fired in task 2 (2009-03-08)	02
Stand-Up Comedian	KOTU	Brooklyn, New York	01 Fired in task 1 (2009-03-01)	01
