Name	Date	Goals	Assists	Team	Venue	Opponent	Competition	Total Gs	Total As
Choi Sang-Kuk	1988-11-12	27	20	POSCO Atoms	Dongdaemun	Yukong Elephants	K-League	32	22
Lee Heung-Sil	1989-09-30	31	20	POSCO Atoms	Dongdaemun	Ilhwa Chunma	K-League	48	35
Kang Deuk-Su	1989-10-28	20	33	Lucky-Goldstar Hwangso	Jamsil	Ilhwa Chunma	K-League	22	42
Lee Tae-Ho	1990-09-15	44	20	Daewoo Royals	Busan	POSCO Atoms	K-League	57	27
Ko Jeong-Woon	1992-07-01	25	20	Ilhwa Chunma	Chuncheon	Lucky-Goldstar Hwangso	K-League Cup	55	48
Yoon Sang-Chul	1993-09-28	55	20	LG Cheetahs	Busan	Daewoo Royals	K-League	101	31
Hwangbo Kwan	1994-08-06	28	20	Yukong Elephants	Dongdaemun	Chonbuk Buffalo	K-League	44	27
Kang Jae-Soon	1995-05-10	27	20	Hyundai Horangi	Ulsan	LG Cheetahs	K-League	28	21
Lee Sang-Yoon	1995-06-17	44	20	Ilhwa Chunma	Pohang	Pohang Atoms	K-League	71	43
Kim Hyun-Seok	1995-07-08	44	20	Hyundai Horangi	Ulsan	Yukong Elephants	K-League	110	54
Shin Tae-Yong	1995-10-07	29	20	Ilhwa Chunma	Iksan	Chonbuk Hyundai Dinos	K-League	99	68
Rade Bogdanović	1996-03-31	43	20	Pohang Atoms	Pohang	Chunnam Dragons	K-League Cup	55	35
Lee Kwang-Jong	1996-07-28	31	20	Suwon Samsung Bluewings	Mokdong	Bucheon Yukong	K-League	36	21
Shin Hong-Gi	1996-10-09	20	27	Ulsan Hyundai Horangi	Anyang	Anyang LG Cheetahs	K-League	35	42
Song Ju-Seok	1997-04-12	39	20	Ulsan Hyundai Horangi	Ulsan	Pohang Steelers	K-League Cup	47	22
Ha Seok-Ju	1997-05-03	42	20	Pusan Daewoo Royals	Anyang	Anyang LG Cheetahs	K-League	45	25
Kim Yi-Ju	1997-09-10	37	20	Cheonan Ilhwa Chunma	Cheonan	Bucheon SK	K-League	39	23
Cho Jung-Hyun	1998-06-06	31	20	Bucheon SK	Jeonju	Chonbuk Hyundai Dinos	K-League Cup	36	23
Roh Sang-Rae	1998-06-06	40	20	Chunnam Dragons	Gwangyang	Suwon Samsung Bluewings	K-League Cup	76	40
Park Tae-Ha	1998-07-18	27	20	Pohang Steelers	Pohang	Anyang LG Cheetahs	K-League	47	37
Jung Jae-Kwon	1998-08-22	27	20	Pusan Daewoo Royals	Suwon	Suwon Samsung Bluewings	K-League	30	23
Denis Laktionov	1999-08-11	20	20	Suwon Samsung Bluewings	Dongdaemun	Anyang LG Cheetahs	K-League Cup	57	59
Choi Moon-Sik	2000-04-05	40	20	Chunnam Dragons	Gwangyang	Pusan Daewoo Royals	K-League Cup	47	25
Jung Jeong-Soo	2000-03-19	20	24	Ulsan Hyundai Horangi	Gwangyang	Chunnam Dragons	K-League Cup	33	31
Choi Yong-Soo	2000-05-24	46	20	Anyang LG Cheetahs	Daejeon	Daejeon Citizen	K-League	54	26
Radivoje Manic	2000-08-19	37	20	Busan I'cons	Seongnam	Seongnam Ilhwa Chunma	K-League	62	39
Park Kun-Ha	2000-10-11	36	20	Suwon Samsung Bluewings	Gwangyang	Chunnam Dragons	K-League	44	27
Yoon Jung-Chun	2001-04-11	28	20	Bucheon SK	Jeonju	Chonbuk Hyundai Dinos	K-League Cup	31	27
Ko Jong-Soo	2001-05-02	20	23	Suwon Samsung Bluewings	Suwon	Anyang LG Cheetahs	K-League Cup	37	34
Park Nam-Yeol	2001-06-24	37	20	Seongnam Ilhwa Chunma	Bucheon	Bucheon SK	K-League	40	24
Jeon Kyung-Joon	2001-08-18	20	29	Bucheon SK	Mokdong	Anyang LG Cheetahs	K-League	28	37
Kwak Kyung-Keun	2001-10-14	33	20	Bucheon SK	Busan	Busan I'cons	K-League	36	23
Saša Drakulić	2001-10-17	75	20	Seongnam Ilhwa Chunma	Gwangyang	Chunnam Dragons	K-League	104	37
Vitaliy Parakhnevych	2002-04-10	48	20	Bucheon SK	Bucheon	Suwon Samsung Bluewings	K-League Cup	50	20
Hwang Yeon-Seok	2002-04-20	43	20	Seongnam Ilhwa Chunma	Jeonju	Jeonbuk Hyundai Motors	K-League Cup	64	32
Kim Do-Hoon	2003-05-11	70	20	Seongnam Ilhwa Chunma	Anyang	Anyang LG Cheetahs	K-League	114	41
Kim Dae-Eui	2003-06-25	37	20	Seongnam Ilhwa Chunma	Seongnam	Jeonbuk Hyundai Motors	K-League	51	41
Kim Jong-Hyun	2003-07-09	20	23	Daejeon Citizen	Daejeon	Bucheon SK	K-League	30	28
Woo Sung-Yong	2003-07-27	63	20	Pohang Steelers	Anyang	Anyang LG Cheetahs	K-League	116	43
Kim Do-Keun	2003-08-09	34	20	Chunnam Dragons	Busan	Busan I'cons	K-League	34	24
Nam Ki-Il	2003-09-21	20	21	Bucheon SK	Gwangyang	Chunnam Dragons	K-League	40	34
Seo Jung-Won	2003-10-26	65	20	Suwon Samsung Bluewings	Iksan	Jeonbuk Hyundai Motors	K-League	68	25
Lee Ki-Hyung	2004-06-20	21	20	Seongnam Ilhwa Chunma	Bucheon	Bucheon SK	K-League	23	23
Cho Hyun-Doo	2004-07-15	25	20	Bucheon SK	Bucheon	Chunnam Dragons	K-League Cup	28	24
Jang Chul-Woo	2004-07-22	23	20	Daejeon Citizen	Daejeon	Chunnam Dragons	K-League Cup	23	22
Lee Dong-Gook	2004-09-19	48	20	Gwangju Sangmu Bulajo	Gwangju	Daejeon Citizen	K-League	141	53
Kim Gi-Dong	2005-03-20	21	20	Pohang Steelers	Pohang	Jeonbuk Hyundai Motors	K-League Cup	39	40
Kim Eun-Jung	2005-05-22	51	20	FC Seoul	Gwangyang	Chunnam Dragons	K-League	119	54
Yoon Jung-Hwan	2005-09-25	20	44	Jeonbuk Hyundai Motors	Jeonju	FC Seoul	K-League	20	44
Lee Chun-Soo	2005-12-04	29	20	Ulsan Hyundai Horangi	Ulsan	Incheon United	K-League	41	25
Lee Kwan-Woo	2006-03-29	22	20	Daejeon Citizen	Jeonju	Jeonbuk Hyundai Motors	K-League	33	33
Popo	2007-05-26	32	20	Gyeongnam FC	Gwangju	Gwangju Sangmu	K-League	32	24
Kim Sang-Rok	2007-06-16	25	20	Incheon United	Incheon	FC Seoul	K-League Cup	31	22
Park Sung-Bae	2007-08-19	54	20	Suwon Samsung Bluewings	Suwon	FC Seoul	K-League	55	20
André Luiz Tavares	2007-09-29	20	27	Pohang Steelers	Pohang	Gwangju Sangmu	K-League	20	29
Dudu	2008-05-25	34	20	Seongnam Ilhwa Chunma	Seongnam	FC Seoul	K-League	48	25
Eninho	2009-03-25	24	20	Jeonbuk Hyundai Motors	Jeonju	Gwangju Sangmu	K-League Cup	80	60
Choi Tae-Uk	2009-04-04	20	24	Jeonbuk Hyundai Motors	Jeonju	Seongnam Ilhwa Chunma	K-League	37	51
Choi Sung-Kuk	2009-07-04	35	20	Gwangju Sangmu	Gwangju	Jeonbuk Hyundai Motors	K-League	42	25
Song Jung-Hyun	2008-07-18	24	20	Chunnam Dragons	Gwangyang	Busan I'Park	K-League	27	23
Kim Do-Heon	2009-09-26	28	20	Suwon Samsung Bluewings	Suwon	Gyeongnam FC	K-League	32	23
Mota	2010-03-20	49	20	Pohang Steelers	Pohang	Gangwon FC	K-League	71	34
Hwang Jin-Sung	2010-04-29	20	29	Pohang Steelers	Pohang	Jeonbuk Hyundai Motors	K-League	41	51
Adriano Chuva	2010-07-10	43	20	Chunnam Dragons	Pohang	Pohang Steelers	K-League	53	24
Yeom Ki-Hun	2010-08-21	22	20	Suwon Samsung Bluewings	Suwon	Daegu FC	K-League	31	36
Dejan Damjanović	2010-10-09	65	20	FC Seoul	Seoul	Gyeongnam FC	K-League	122	31
Luiz Henrique	2011-06-18	20	20	Jeonbuk Hyundai Motors	Jeonju	Jeju United	K-League	26	24
Mauricio Molina	2011-08-27	29	21	FC Seoul	Seoul	Gangwon FC	K-League	50	42
Jeong Shung-Hoon	2011-10-30	48	20	Jeonbuk Hyundai Motors	Gwangyang	Chunnam Dragons	K-League	53	24
Dženan Radončić	2012-04-01	56	20	Suwon Samsung Bluewings	Suwon	FC Seoul	K-League	64	24
Kim Hyeung-Bum	2012-06-27	26	20	Daejeon Citizen	Daejeon	Daegu FC	K-League	27	24
Kim Jin-Yong	2012-08-12	36	20	Pohang Steelers	Gwangyang	Chunnam Dragons	K-League	36	20
Santos	2012-11-25	42	20	Jeju United	Jeju	Ulsan Hyundai	K-League	42	20
Park Sung-Ho	2012-11-29	46	20	Pohang Steelers	Pohang	FC Seoul	K-League	46	21
