Name	League	Play-offs	FA Cup	League Cup	Total
Paul Groves Category:Articles with hCards	46	3	3	2	54
Alan Wright Category:Articles with hCards	45	3	3	2	53
Steve McIlhargey Category:Articles with hCards	44	3	3	2	52
Tony Rodwell Category:Articles with hCards	45	3	3	1	52
Ian Gore Category:Articles with hCards	41	3	3	2	49
Phil Horner Category:Articles with hCards	39	3	3	0	45
Andy Garner Category:Articles with hCards	36	3	3	2	44
David Eyres Category:Articles with hCards	36	3	1	2	42
Mike Davies Category:Articles with hCards	37	3	1	0	41
Trevor Sinclair Category:Articles with hCards	31	2	3	2	38
Gary Briggs Category:Articles with hCards	30	2	3	2	37
Dave Bamber Category:Articles with hCards	23	1	1	0	25
Carl Richards Category:Articles with hCards	22	0	2	1	25
Chris Hedworth Category:Articles with hCards	20	0	3	0	23
Mark Taylor Category:Articles with hCards	19	3	0	1	23
Phil Stant Category:Articles with hCards	12	0	0	0	12
Dave Lancaster Category:Articles with hCards	8	0	0	2	10
Gary Brook Category:Articles with hCards	4	0	0	2	6
A. Smalley Category:Articles with hCards	6	0	0	0	6
Andy Gouck Category:Articles with hCards	5	0	0	0	5
Mark Bradshaw Category:Articles with hCards	1	0	0	2	3
Mark Wright Category:Articles with hCards	3	0	0	0	3
Fred Barber Category:Articles with hCards	2	0	0	0	2
Gordon Owen Category:Articles with hCards	1	0	0	0	1
Russell Coughlin Category:Articles with hCards	0	0	0	0	0
