Name	Latitude	Longitude	Diameter (km)	Year named
Ahsabkab Vallis	24.0S	79.0E	700.0	2000
Alajen Vallis	3.3S	337.1E	200.0	2000
Albys Vallis	39.5S	30.5E	240.0	1997
Anuket Vallis	66.7N	8.0E	350.0	1994
Apisuahts Vallis	66.5S	17.0E	550.0	1997
Austrina Vallis	49.5S	177.0E	600.0	1997
Avfruvva Vallis	2.0N	70.0E	70.0	1994
Baltis Vallis	37.3N	161.4E	6,000.0	1994
Banumbirr Vallis	7.0S	4.0E	400.0	1997
Bastryk Vallis	7.5S	347.5E	190.0	2000
Bayara Vallis	45.6N	16.5E	500.0	1994
Belisama Vallis	50.0N	22.5E	220.0	1994
Bennu Vallis	1.3N	341.2E	710.0	1994
Chasca Vallis	52.8S	359.0E	400.0	1997
Citlalpul Vallis	51.8S	187.0E	3,160.0	1994
Dilbat Vallis	55.0S	184.0E	420.0	2000
Dzyzlan Vallis	16.0S	182.0E	250.0	1997
Fara Vallis	1.2S	345.5E	260.0	2000
Fetu-ao Vallis	61.0S	254.7E	400.0	1997
Fufei Vallis	46.0N	341.0E	170.0	1997
Ganga Valles	4.8N	53.0E	200.0	2006
Gendenwitha Vallis	63.0S	259.0E	900.0	1997
Helmud Vallis	33.9S	171.3E	280.0	1997
Hoku-ao Vallis	28.0N	166.5E	450.0	1997
Ikhwezi Vallis	16.0N	147.8E	1,700.0	1997
Jutrzenka Vallis	27.0N	155.8E	970.0	1997
Kallistos Vallis	51.1S	21.5E	900.0	1994
Khalanasy Vallis	51.0S	168.5E	320.0	1997
Kimtinh Vallis	46.5S	67.0E	550.0	2000
Kinsei Vallis	13.6N	141.0E	800.0	1997
Koidutäht Vallis	76.5S	130.0E	700.0	1997
Kumanyefie Vallis	80.5S	335.0E	600.0	1997
Ku-msong Vallis	59.0S	152.5E	700.0	1997
Laidamlulum Vallis	73.0S	151.0E	2,700.0	2000
Lo Shen Valles	12.8S	89.6E	225.0	1994
Lunang Vallis	68.2N	310.0E	250.0	1997
Lusaber Vallis	47.5S	164.0E	500.0	1997
Martuv Vallis	23.0N	156.0E	250.0	1997
Matlalcue Vallis	33.0S	167.5E	300.0	1997
Merak Vallis	63.5S	162.0E	200.0	1997
Morongo Valles	20.0S	111.4E	660.0	2003
Nahid Valles	55.1S	171.0E	500.0	1997
Nantosuelta Vallis	61.9S	193.0E	320.0	1997
Nepra Vallis	1.4N	24.2E	350.0	1997
Ngyandu Vallis	62.0S	12.0E	500.0	1997
Nommo Valles	40.7S	87.3E	200.0	2000
Nyakaio Vallis	47.5N	339.0E	150.0	1997
Olokun Vallis	81.5N	269.0E	150.0	1997
Omutnitsa Vallis	33.0N	292.0E	150.0	1997
Poranica Valles	21.0S	178.5E	550.0	1997
Saga Vallis	76.1N	340.6E	450.0	1994
Samundra Vallis	24.1S	347.1E	110.0	1994
Sati Vallis	3.2N	334.4E	225.0	1994
Sezibwa Vallis	44.0S	37.0E	300.0	1997
Sholpan Vallis	63.9S	150.0E	590.0	2003
Sinann Vallis	49.0S	270.0E	425.0	1994
Ta'urua Vallis	80.2S	247.5E	525.0	1994
Tai-pe Valles	11.0N	156.5E	400.0	1997
Tan-yondozo Vallis	41.5S	87.0E	800.0	1997
Tapati Vallis	27.0N	304.0E	150.0	1997
Tawera Vallis	11.6S	67.5E	500.0	1997
Tingoi Vallis	6.0N	318.6E	250.0	1997
Umaga Valles	49.0S	152.0E	400.0	1997
Uottakh-sulus Valles	12.5N	239.0E	1,100.0	1997
Utrenitsa Vallis	55.0N	280.0E	700.0	1997
Vakarine Vallis	5.0N	336.4E	625.0	1994
Veden-Ema Vallis	15.0S	141.0E	300.0	1997
Vesper Vallis	59.3S	180.0E	610.0	2000
Vishera Vallis	33.1S	161.6E	300.0	2003
Xulab Vallis	57.5S	186.0E	820.0	1997
Ymoja Vallis	71.6S	204.8E	390.0	1994
Yuvkha Valles	10.5N	239.5E	200.0	1997
