Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Sep 28, 1986	Southwest Golf Classic	–13 (68-70-66-71=275)	3 strokes	Tom Byrum
Mar 8, 1987	Honda Classic	–9 (69-72-68-70=279)	3 strokes	Bernhard Langer , Payne Stewart
Sep 18, 1988	Bank of Boston Classic	–10 (71-67-70-66=274)	1 stroke	Don Pooley
Jan 22, 1989	Phoenix Open	–21 (66-68-65-64=263)	7 strokes	Chip Beck
Feb 5, 1989	Nissan Los Angeles Open	–12 (68-66-70-68=272)	1 stroke	Sandy Lyle
Jul 23, 1989	The Open Championship	–13 (71-68-68-68=275)	Playoff	Wayne Grady , Greg Norman
Jan 26, 1992	Phoenix Open	–20 (69-65-67-63=264)	5 strokes	Duffy Waldorf
May 7, 1995	BellSouth Classic	–17 (67-69-69-66=271)	2 strokes	Jim Gallagher, Jr.
Aug 24, 1997	Greater Vancouver Open	–19 (68-66-65-66=265)	1 stroke	Andrew Magee
Mar 15, 1998	Honda Classic	–18 (70-67-68-65=270)	3 strokes	Vijay Singh
Jan 28, 2001	Phoenix Open	–28 (65-60-64-67=256)	8 strokes	Rocco Mediate
Sep 11, 2005	Bell Canadian Open	–5 (65-67-72-71=275)	1 stroke	Ben Crane , Ryan Moore
Mar 11, 2007	PODS Championship	–10 (75-67-62-70=274)	1 stroke	John Senden , Heath Slocum
