Fin. Pos	Car No.	Driver	Team	Laps	Time/Retired	Grid	Laps Led	Points
1	9	Scott Dixon	Target Chip Ganassi	80	1:51:58.5533	5	15	50
2	3	Hélio Castroneves	Team Penske	80	+0.5449	4	0	40
3	27	Dario Franchitti	Andretti Green	80	+8.3814	1	62	35+3
4	11	Tony Kanaan	Andretti Green	80	+8.9864	3	1	32
5	6	Sam Hornish, Jr.	Team Penske	80	+9.9473	6	0	30
6	7	Danica Patrick	Andretti Green	80	+10.3725	2	0	28
7	10	Dan Wheldon	Target Chip Ganassi	80	+10.8098	10	0	26
8	2	Tomas Scheckter	Vision Racing	80	+12.6855	11	0	24
9	4	Vitor Meira	Panther Racing	80	+12.9782	13	0	22
10	55	Kosuke Matsuura	Panther Racing	80	+14.9708	12	0	20
11	15	Buddy Rice	Dreyer & Reinbold Racing	79	+1 Lap	9	0	19
12	14	Darren Manning	A.J. Foyt Racing	79	+1 Lap	16	0	18
13	20	Ed Carpenter	Vision Racing	79	+1 Lap	14	0	17
14	8	Scott Sharp	Rahal Letterman	79	+1 Lap	17	0	16
15	22	A. J. Foyt IV	Vision Racing	71	Accident	15	0	15
16	26	Marco Andretti	Andretti Green	68	Accident	8	2	14
17	5	Sarah Fisher	Dreyer & Reinbold Racing	28	Mechanical	18	0	13
18	17	Ryan Hunter-Reay	Rahal Letterman	5	Handling	7	0	12
Lead changes: 10 between 4 drivers	Lead changes: 10 between 4 drivers	Lead changes: 10 between 4 drivers	Lead changes: 10 between 4 drivers	Lead changes: 10 between 4 drivers	Lead changes: 10 between 4 drivers	Lead changes: 10 between 4 drivers	Lead changes: 10 between 4 drivers	Lead changes: 10 between 4 drivers
