BRNo.	SRNo.	Name	Builder	Whenbuilt	Withdrawn
34001	21C101	Exeter	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1967
34002	21C102	Salisbury	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1967
34003	21C103	Plymouth	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1964
34004	21C104	Yeovil	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1967
34005	21C105	Barnstaple	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1966
34006	21C106	Bude	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1967
34007	21C107	Wadebridge	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1965
34008	21C108	Padstow	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1967
34009	21C109	Lyme Regis	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1966
34010	21C110	Sidmouth	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1965
34011	21C111	Tavistock	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1963
34012	21C112	Launceston	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1966
34013	21C113	Okehampton	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1967
34014	21C114	Budleigh Salterton	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1965
34015	21C115	Exmouth	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1967
34016	21C116	Bodmin	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1964
34017	21C117	Ilfracombe	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1966
34018	21C118	Axminster	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1967
34019	21C119	Bideford	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1967
34020	21C120	Seaton	Brighton	Cannot handle non-empty timestamp argument! 1945	Cannot handle non-empty timestamp argument! 1964
34021	21C121	Dartmoor	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1967
34022	21C122	Exmoor	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1965
34023	21C123	BlackmoorVale / Blackmore Vale	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1967
34024	21C124	Tamar Valley	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1967
34025	21C125	Whimple	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1967
34026	21C126	Yes Tor	Brighton	Cannot handle non-empty timestamp argument! 1946	Cannot handle non-empty timestamp argument! 1966
