No in. series	No in. season	Title	Original air date	Production Code	U.S. viewers (millions)
21	1	"A Doomed Christmas"	December10,2011	121	N/A
22	2	"Big Dog on Campus / Dog's Best Friend"	January16,2012	122	N/A
23	3	"Monkey Business / Diary of a Mad Cat"	April21,2012	125	N/A
24	4	"Dudley Do-Wrong / Puppy Unplugged"	May6,2012	123	N/A
25	5	"Freaky Spy Day / Dog Tired"	May 13, 2012	202	N/A
26	6	"Top Dog / Quack in the Box"	May20,2012	124	N/A
27	7	"Lie Like A Dog / Cold Fish"	May27,2012	126	2.3
28	8	"Pup Daddy / Candy Cane-ine"	June 3, 2012	201	N/A
29	9	"Bark to the Future / Lights, Camera, Quacktion"	October 13, 2012	205	1.8
30	10	"Happy Howl-O-Ween"	October 27, 2012	210	1.6
31	11	"Bark to Nature / Mutts and Bolts"	August 5, 2013	213	1.9
32	12	"Dog House / Time Waits for No Mutt"	August 6, 2013	203	1.6
33	13	"Hush Puppy / Quacky Birthday"	August8,2013	209	1.8
34	14	"Love Bird / Bluff Puppy"	October20,2013 (Nicktoons)	204	N/A
35	15	"Rat Trap / Agent of the Year"	October27,2013 (Nicktoons)	207	N/A
36	16	"Barking Tall / Bad Eggs"	November3,2013 (Nicktoons)	212	N/A
37	17	"Carbon Copies / TUFF Cookies"	November10,2013 (Nicktoons)	214	N/A
39	19	"T.U.F.F. Choices / Sob Story"	TBA (Nicktoons)	208	N/A
