Advocate # 1	Advocate # 2	Root of All Evil	Poll winner	Original air date
Andrew Daly for Ultimate Fighting	Patton Oswalt for Bloggers	Bloggers	Bloggers	July 30, 2008
Greg Giraldo for Steroids	Andrew Daly for Boob Jobs	Boob Jobs	Steroids	August 6, 2008
Andrew Daly for Olympic Games	Greg Giraldo for Drinking Games	Drinking Games	Drinking Games	August 13, 2008
Andy Kindler for NRA	Paul F. Tompkins for PETA	NRA	PETA	August 20, 2008
Paul F. Tompkins for Red States	Patton Oswalt for Blue States	Puerto Rico	Red States	August 27, 2008
Kathleen Madigan for Disney	Andy Kindler for Scientology	Disney	Scientology	September 3, 2008
Greg Giraldo for Going Green	Andrea Savage for Spring Break	Spring Break	Spring Break	September 10, 2008
Paul F. Tompkins for Gen X	Andrew Daly for s Baby boomer	Baby boomers	Baby boomers	September 17, 2008
Greg Giraldo for Strip Clubs	Kathleen Madigan for Sororities	Strip Clubs	Sororities	September 24, 2008
Jerry Minor for The Hills	Paul F. Tompkins for Rocket Scientists	The Hills	The Hills	October 1, 2008
