Year	Mens singles	Womens singles	Mens doubles	Womens doubles	Mixed doubles
1985	Jeliazko Valkov	Diana Koleva	Ilko Orechov Nanko Ertchopov	Diana Koleva Zlatka Valkanova	Jeliazko Valkov Dobrinka Peneva
1986	Jeliazko Valkov	Diana Koleva	Jeliazko Valkov Dinko Dukov	Diana Koleva Petia Borisova	Ilko Okreshkov Elena Velinova
1987	Stanimir Boitchinov	Diana Koleva	Jeliazko Valkov Dinko Dukov	Diana Koleva Diana Filipova	Jeliazko Valkov Gabriela Spasova
1988	Jeliazko Valkov	Diana Koleva	Jeliazko Valkov Dinko Dukov	Diana Koleva Emilia Dimitrova	Jeliazko Valkov Irina Dimitrova
1989	Stanimir Boitchinov	Diana Koleva	Jeliazko Valkov Dinko Dukov	Diana Koleva Emilia Dimitrova	Jeliazko Valkov Diana Filipova
1990	Stoyan Ivantchev	Diana Koleva	Slantcezar Tzankov Anatoliy Skripko	Diana Koleva Emilia Dimitrova	Anatoliy Skripko Diana Filipova
1991	Stoyan Ivantchev	Victoria Hristova	Stoyan Ivantchev Anatoliy Skripko	Diana Koleva Emilia Dimitrova	Jeliazko Valkov Emilia Dimitrova
1992	Jassen Borissov	Diana Koleva	Jeliazko Valkov Sibin Atanasov	Diana Koleva Diana Filipova	Slantchezar Tzankov Diana Filipova
1993	Todor Velkov	Dimitrinka Dimitrova	Boris Kesov Anatoliy Skripko	Victoria Hristova Nelly Nedjalkova	Svetoslav Stoyanov Emilia Dimitrova
1994	Mihail Popov	Victoria Hristova	Svetoslav Stoyanov Mihail Popov	Raina Tzvetkova Emilia Dimitrova	Svetoslav Stoyanov Raina Tzvetkova
1995	Todor Velkov	Neli Nedialkova	Svetoslav Stoyanov Mihail Popov	Raina Tzvetkoa Victoria Hristova	Svetoslav Stoyanov Raina Tzvetkova
1996	Mihail Popov	Victoria Hristova	Svetoslav Stoyanov Mihail Popov	Victoria Hristova Neli Nedialkova	Svetoslav Stoyanov Raina Tzvetkova
1997	Boris Kessov	Raina Tzvetkova	Svetoslav Stoyanov Mihail Popov	Victoria Hristova Dobrinka Smilianova	Svetoslav Stoyanov Raina Tzvetkova
1998	Mihail Popov	Victoria Hristova	Svetoslav Stoyanov Mihail Popov	Victoria Hristova Raina Tzvetkova	Svetoslav Stoyanov Raina Tzvetkova
1999	Boris Kessov	Neli Boteva	Boris Kessov Tzvetozar Kolev	Raina Tzvetkova Petya Nedelcheva	Konstantin Dobrev Petya Nedelcheva
2000	Luben Panov	Petya Nedelcheva	Konstantin Dobrev Luben Panov	Petya Nedelcheva Neli Boteva	Konstantin Dobrev Petya Nedelcheva
2001	Konstantin Dobrev	Petya Nedelcheva	Konstantin Dobrev Luben Panov	Petya Nedelcheva Maya Ivanova	Konstantin Dobrev Petya Nedelcheva
2002	Boris Kessov	Petya Nedelcheva	Konstantin Dobrev Georgi Petrov	Petya Nedelcheva Nely Boteva	Boris Kessov Nely Boteva
2003	Georgi Petrov	Nely Boteva	Julian Hristov Boris Kessov	Petya Nedelcheva Diana Koleva	Julian Hristov Diana Dimova
2004	Yulian Hristov	Petya Nedelcheva	Stilian Makarski Bladimir Metodiev	Petya Nedelcheva Nely Boteva	Vladimir Metodiev Petya Nedelcheva
2005	Kostantin Dobrev	Petya Nedelcheva	Konstantin Dobrev Georgi Petrov	Petya Nedelcheva Maya Lvanova	Vladimir Metodiev Petya Nedelcheva
2006	Georgi Petrov	Petya Nedelcheva	Georgi Petrov Blagovest Kisiov	Petya Nedelcheva Diana Dimova	Vladimir Metodiev Petya Nedelcheva
2007	Georgi Petrov	Petya Nedelcheva	Vladimir Metodiev Stilian Makarski	Petya Nedelcheva Diana Dimova	Vladimir Metodiev Diana Dimova
2008	Stilian Makarski	Petya Nedelcheva	Vladimir Metodiev Krasimir Yankov	Petya Nedelcheva Diana Dimova	Stilian Makarski Diana Dimova
2009	Krasimir Yankov	Petya Nedelcheva	Vladimir Metodiev Krasimir Yankov	Petya Nedelcheva Dimitria Popstoykova	Stilian Makarski Diana Dimova
2010	Stilian Makarski	Petya Nedelcheva	Stilian Makarski Peyo Boichinov	Petya Nedelcheva Diana Dimova	Stilian Makarski Diana Dimova
2011	Peyo Boichinov	Petya Nedelcheva	Stilian Makarski Peyo Boichinov	Petya Nedelcheva Diana Dimova	Stilian Makarski Diana Dimova
