Pick	Round	Player	Position	School
1	1	Ricky Bell	Running Back	USC
29	2	Dave Lewis	Linebacker	USC
57	3	Charley Hannah	Defensive End	Alabama
196	8	Randy Hedberg	Quarterback	Minot State
224	9	Byron Hemingway	Linebacker	Boston College
251	9 (from Oakland)	Larry Mucker	Wide Receiver	Arizona State
252	10	Robert Morgan	Running Back	Florida
267	10 (from San Francisco)	Aaron Ball	Linebacker	Cal State-Fullerton
280	11	Chuck Rodgers	Defensive Back	North Dakota State
308	12	Chip Sheffield	Wide Receiver	Lenoir-Rhyne
