Date	Tournament	Winning score	Margin of victory	Runner(s)-up
Feb 4, 1991	Oldsmobile LPGA Classic	–12 (66-70-69-71=276)	2 strokes	Dana Lofland
Jun 30, 1991	Mazda LPGA Championship	–10 (68-68-71-67=274)	1 stroke	Pat Bradley , Ayako Okamoto
Jul 14, 1991	U.S. Women's Open	–1 (70-75-71-67=283)	2 strokes	Pat Bradley
Oct 6, 1991	Daikyo World Championship	–3 (73-72-71=216)	5 strokes	Dottie Mochrie
Mar 14, 1993	PING/Welch's Championship (Tucson)	–16 (67-66-70-69=272)	1 stroke	Betsy King
May 9, 1993	Sara Lee Classic	–11 (70-71-64=205)	Playoff	Tina Tombs
Feb 24, 1996	Cup Noodles Hawaiian Ladies Open	–4 (74-70-68=212)	1 stroke	Karrie Webb
Apr 28, 1996	Sara Lee Classic	–6 (70-71-69=210)	2 strokes	Stephanie Farwig , Pamela Wright
Aug 9, 1998	Star Bank LPGA Classic	–17 (64-66-68=199)	Playoff	Dottie Pepper
Jan 24, 1999	Naples LPGA Memorial	–16 (69-67-69-67=272)	1 stroke	Helen Alfredsson , Kelly Robbins
May 16, 1999	Sara Lee Classic	–17 (66-65-68=199)	1 stroke	Annika Sörenstam , Kris Tschetter
Jun 11, 2000	Wegmans Rochester International	–8 (74-67-72-67=280)	2 strokes	Wendy Doolan
Aug 13, 2000	du Maurier Classic	–6 (73-68-72-69=282)	1 stroke	Rosie Jones
Aug 18, 2002	Bank of Montreal Canadian Women's Open	–4 (71-71-69-73=284)	3 strokes	Michelle Ellis , Catriona Matthew Michele Redman
Nov 23, 2003	ADT Championship	–7 (71-71-72-67=281)	1 stroke	Annika Sörenstam
Jul 4, 2004	U.S. Women's Open	–10 (73-69-67-65=274)	2 strokes	Annika Sörenstam
Jul 11, 2004	BMO Financial Group Canadian Women's Open	–18 (65-70-65-70=270)	4 strokes	Beth Daniel
Aug 8, 2004	Jamie Farr Owens Corning Classic	–7 (66-69-74-68=277)	1 stroke	Se Ri Pak , Karen Stupples
