Basin	Outlet	Total Area	In-State Area	% In-State
Colorado River	Gulf of California	001 703,132km 2 271,481mi 2	001 100,195km 2 38,686mi 2	A064 14.2%
Arkansas River	Mississippi River	002 478,501km 2 184,750mi 2	002 70,022km 2 27,036mi 2	A063 14.6%
Rio Grande	Gulf of Mexico	003 457,275km 2 176,555mi 2	009 12,070km 2 4,660mi 2	A072 2.6%
Canadian River	Arkansas River	004 122,701km 2 47,375mi 2	073 154km 2 59mi 2	A073 0.1%
Green River	Colorado River	005 115,903km 2 44,750mi 2	005 27,340km 2 10,556mi 2	A059 23.6%
North Platte River	Platte River	006 80,755km 2 31,180mi 2	018 5,129km 2 1,980mi 2	A068 6.4%
upper Colorado River ( GrandRiver )	Colorado River	007 67,993km 2 26,252mi 2	003 57,680km 2 22,270mi 2	A038 84.8%
San Juan River	Colorado River	008 64,560km 2 24,927mi 2	008 15,175km 2 5,859mi 2	A060 23.5%
South Platte River	Platte River	009 62,738km 2 24,223mi 2	004 48,948km 2 18,899mi 2	A040 78.0%
Smoky Hill River	Kansas River	010 51,783km 2 19,994mi 2	040 2,493km 2 963mi 2	A070 4.8%
Cimarron River	Arkansas River	011 44,890km 2 17,332mi 2	016 5,481km 2 2,116mi 2	A066 12.2%
Yampa River	Green River	012 21,506km 2 8,304mi 2	007 15,289km 2 5,903mi 2	A043 71.1%
Gunnison River	upper Colorado River ( GrandRiver )	013 20,851km 2 8,051mi 2	006 20,851km 2 8,051mi 2	A001 100%
North Fork Republican River	Republican River	014 13,172km 2 5,086mi 2	010 11,522km 2 4,449mi 2	A037 87.5%
White River	Green River	015 12,989km 2 5,015mi 2	012 9,796km 2 3,782mi 2	A042 75.4%
Dolores River	upper Colorado River ( GrandRiver )	016 11,998km 2 4,633mi 2	011 10,619km 2 4,100mi 2	A036 88.5%
Laramie River	North Platte River	017 11,961km 2 4,618mi 2	061 989km 2 382mi 2	A067 8.3%
Little Snake River	Yampa River	018 10,629km 2 4,104mi 2	022 4,412km 2 1,704mi 2	A052 41.5%
Purgatoire River	Arkansas River	019 8,923km 2 3,445mi 2	013 8,601km 2 3,321mi 2	A031 96.4%
Lodgepole Creek	South Platte River	020 8,374km 2 3,233mi 2	069 496km 2 191mi 2	A069 5.9%
Rio Chama	Rio Grande	021 8,204km 2 3,168mi 2	071 238km 2 92mi 2	A071 2.9%
San Luis Closed Basin	endorheic basin	022 7,638km 2 2,949mi 2	014 7,638km 2 2,949mi 2	A002 100%
Frenchman Creek	Republican River	023 7,398km 2 2,856mi 2	036 2,539km 2 980mi 2	A053 34.3%
South Fork Republican River	Republican River	024 7,195km 2 2,778mi 2	017 5,454km 2 2,106mi 2	A041 75.8%
San Luis Creek	San Luis Closed Basin	025 7,000km 2 2,703mi 2	015 7,000km 2 2,703mi 2	A003 100%
Cache la Poudre River	South Platte River	026 4,959km 2 1,915mi 2	021 4,587km 2 1,771mi 2	A034 92.5%
Bear Creek Basin	endorheic basin	027 4,896km 2 1,890mi 2	037 2,521km 2 973mi 2	A048 51.5%
Huerfano River	Arkansas River	028 4,840km 2 1,869mi 2	019 4,840km 2 1,869mi 2	A004 100%
Big Sandy Creek	Arkansas River	029 4,825km 2 1,863mi 2	020 4,825km 2 1,863mi 2	A005 100%
Bear Creek	Bear Creek Basin	030 4,500km 2 1,737mi 2	039 2,500km 2 965mi 2	A047 55.6%
North Fork Cimarron River	Cimarron River	031 4,462km 2 1,723mi 2	043 2,225km 2 859mi 2	A049 49.9%
Arikaree River	North Fork Republican River	032 4,429km 2 1,710mi 2	023 4,265km 2 1,647mi 2	A032 96.3%
San Miguel River	Dolores River	033 4,060km 2 1,567mi 2	024 4,060km 2 1,567mi 2	A006 100%
Stinking Water Creek	Frenchman Creek	034 3,862km 2 1,491mi 2	063 966km 2 373mi 2	A058 25.0%
Roaring Fork River	upper Colorado River ( GrandRiver )	035 3,766km 2 1,454mi 2	025 3,766km 2 1,454mi 2	A007 100%
Crow Creek	South Platte River	036 3,717km 2 1,435mi 2	044 2,201km 2 850mi 2	A046 59.2%
Horse Creek	Arkansas River	037 3,680km 2 1,421mi 2	026 3,680km 2 1,421mi 2	A008 100%
Ladder Creek	Smoky Hill River	038 3,645km 2 1,407mi 2	067 663km 2 256mi 2	A062 18.2%
Bijou Creek	South Platte River	039 3,612km 2 1,395mi 2	027 3,612km 2 1,395mi 2	A009 100%
White Woman Basin	endorheic basin	040 3,577km 2 1,381mi 2	065 908km 2 351mi 2	A057 25.4%
Rush Creek	Arkansas River	041 3,570km 2 1,378mi 2	028 3,570km 2 1,378mi 2	A010 100%
Animas River	San Juan River	042 3,562km 2 1,375mi 2	030 2,971km 2 1,147mi 2	A039 83.4%
