Date	Opponent	Location	Result	Attendance
09/04/1982	Western Carolina	Groves Stadium • Winston-Salem, NC	W 31-10	25,476
09/11/1982	at Auburn	Jordan-Hare Stadium • Auburn, AL	L 10-28	59,350
09/18/1982*	at North Carolina State	Carter-Finley Stadium • Raleigh, NC	L 0-30	44,800
09/25/1982*	Appalachian State	Groves Stadium • Winston-Salem, NC	W 31-22	29,100
10/02/1982	at Virginia Tech	Lane Stadium • Blacksburg, VA	W 13-10	37,300
10/09/1982*	#12 North Carolina	Groves Stadium • Winston-Salem, NC	L 7-24	36,200
10/16/1982*	at Maryland	Byrd Stadium • College Park, MD	L 31-52	35,100
10/23/1982*	at Virginia	Scott Stadium • Charlottesville, VA	L 27-34	24,105
11/06/1982*	at Duke	Wallace Wade Stadium • Durham, NC	L 28-46	21,500
11/13/1982	Georgia Tech	Groves Stadium • Winston-Salem, NC	L 7-45	19,257
11/27/1982	#10 Clemson	Korakuen Stadium • Tokyo, Japan	L 17-21	80,000
