Estimate	Name	Nat.	Ship Type	Principal victims	Date
1,255	HMS Queen Mary	UK	Battlecruiser	Crew	May 31, 1916
1,198	RMS Lusitania	UK	Ocean Liner	Civilians	May 7, 1915
1,015	HMS Invincible	UK	Battlecruiser	Crew	May 31, 1916
1,013	HMS Indefatigable	UK	Battlecruiser	Crew	May 31, 1916
903	HMS Defence	UK	Armoured cruiser	Crew	May 31, 1916
900	HMS Good Hope	UK	Armoured Cruiser	Crew	Nov 1, 1914
857	HMS Black Prince	UK	Armoured Cruiser	Crew	May 31, 1916
843	HMS Vanguard	UK	Battleship	Crew	Jul 19, 1917
839	SMS Pommern	Ger	Battleship	Crew	Jun 1, 1916
782	SMS Blücher	Ger	Armoured Cruiser	Crew	Jan 24, 1915
764	SMS Scharnhorst	Ger	Armoured Cruiser	Crew	Dec 8, 1914
750	HMS Monmouth	UK	Armoured Cruiser	Crew	Nov 1, 1914
738	HMS Bulwark	UK	Battleship	Crew	Nov 26, 1914
648	Suffren	Fr	Battleship	Crew	Nov 26, 1916
646	SS Mendi	UK	Troopship	Troops	Feb 21, 1917
600	Bouvet	Fr	Battleship	Crew	Mar 18, 1915
501	RMS Leinster	UK	Mail Ship	Military personnel	Oct 10, 1918
577	SMS Gneisenau	Ger	Armoured Cruiser	Crew	Dec 8, 1914
570	HMS Goliath	UK	Battleship	Crew	May 13, 1915
460	HMS Hawke	UK	Cruiser	Crew	Oct 15, 1914
