Province	Largest city	2nd Largest	3rd Largest	4th largest
Tehran	Tehran	Eslamshahr	Golestan	Shahr-e Qods
Alborz	Karaj	Nazarabad	Savojbolagh	Taleghan
Razavi Khorasan	Mashhad	Sabzevar	Neyshabur	Torbat-e Heydarieh
Isfahan	Isfahan	Kashan	Khomeynishahr	Najafabad
Fars	Shiraz	Marvdasht	Jahrom	Fasa
Khuzestan	Ahvaz	Dezful	Abadan	Khorramshahr
East Azarbaijan	Tabriz	Maragheh	Marand	Mianeh
Mazandaran	Sari	Babol	Amol	Qa'em Shahr
West Azarbaijan	Urmia	Khoy	Miandoab	Salmas
Kerman	Kerman	Sirjan	Rafsanjan	Jiroft
Gilan	Rasht	Bandar-e Anzali	Lahijan	Langrud
Sistan and Baluchistan	Zahedan	Zabol	Iran Shahr	Chabahar
Kermanshah	Kermanshah	Eslamabad-e Gharb	Harsin	Kangavar
Lorestan	Khorramabad	Borujerd	Dorood	Koohdasht
Hamadan	Hamadan	Malayer	Nahavand	Asadabad
Golestan	Gorgan	Gonbad-e Qabus	Ali Abad	Bandar Torkaman
Kurdistan	Sanandaj	Saghez	Marivan	Baneh
Hormozgan	Bandar Abbas	Minab	Dehbarez	Bandar Lengeh
Markazi	Arak	Saveh	Khomein	Mahallat
Ardabil	Ardabil	Parsabad	Meshkinshahr	Khalkhal
Qazvin	Qazvin	Takestan	Alvand	Eqbaliyeh
Qom	Qom	Jamkaran	Qanavat	Jafariyeh
Yazd	Yazd	Meybod	Ardakan	Bafq
Zanjan	Zanjan	Abhar	Khorramdareh	Qidar
Bushehr	Bushehr	Borazjan	Bandar Ganaveh	Khormuj
Chahar Mahaal and Bakhtiari	Shahr-e Kord	Borujen	Farrokhshahr	Farsan
North Khorasan	Bojnurd	Shirvan	Esfarayen	Garmeh Jajarm
Kohgiluyeh and Boyer-Ahmad Province	Yasuj	Dogonbadan	Dehdasht	Likak
South Khorasan	Birjand	Ghayen	Ferdows	Nehbandan
Semnān	Shahrood	Semnan	Damghan	Garmsar
Ilam	Ilam	Eyvan	Dehloran	Abdanan
