Team	Outgoing manager	Manner of departure	Date of vacancy	Incoming manager	Date of appointment
Warri Wolves	Lawrence Akpokona	fired	end of 2009-10 season	Paul Aigbogun	2 September 2010
Kwara United	Justin Tenger	fired	end of 2009-10 season	Kadiri Ikhana	17 July 2010
Sunshine Stars	Solomon Ogbeide	fired	Aug. 18 2010	Gbenga Ogunbote	Aug. 18 2010
Gombe United	Ben Duamlong	Resigned	Oct.8 2010	Bernard Ogbe	Nov. 5 2010
Heartland	Samson Siasia	resigned to take Super Eagles job	Dec. 1 2010	Lodewijk de Kruif	Feb. 7 2011
Niger Tornadoes	Ladan Bosso	fired	Nov. 26 2010	Samson Unuanel (interim)	Nov. 26 2010
Crown F.C.	Ganiyu Salami	fired	Jan. 22 2011	Oladunni Oyekale	Jan. 22 2011
Kano Pillars F.C.	Salisu Yusuf	resigned to become Super Eagles assistant	Jan. 1 2011	Ladan Bosso	Jan. 23 2011
Niger Tornadoes	Samson Unuanel	interim period ends	Feb. 6 2011	Justin Tenger	Feb. 6 2011
JUTH F.C.	Tunde Abdulrahman	fired	Feb. 17 2011	Emmanuel Gustave Deutsch	Feb. 28 2011
Ocean Boys F.C.	Larry Eceli	fired	May 20, 2011	Samson Unuanel	May 20, 2011
