Week	Date	Opponent	Result	Record
1	September 26, 1949	Washington Redskins	W 38-7	1-0
2	October 2, 1949	Chicago Bears	L 17-7	1-1
3	October 8, 1949	at Philadelphia Eagles	L 28-3	1-2
4	October 16, 1949	at Green Bay Packers	W 39-17	2-2
5	October 23, 1949	Detroit Lions	L 24-7	2-3
6	October 30, 1949	New York Giants	L 41-38	2-4
7	November 6, 1949	at Detroit Lions	W 42-19	3-4
8	November 13, 1949	at New York Bulldogs	W 65-20	4-4
9	November 20, 1949	Los Angeles Rams	T 28-28	4-4-1
10	November 27, 1949	Green Bay Packers	W 41-21	5-4-1
11	December 4, 1949	at Los Angeles Rams	W 31-27	6-4-1
12	December 11, 1949	at Chicago Bears	L 52-21	6-5-1
