Exam	2006 First Time	2006 All	2007 First Time	2007 All	2008 First Time	2008 All	2009 First Time	2009 All	2010 First Time	2011 First Time	2012 First Time
Biology 6-12	74%	67%	75%	67%	74%	67%	77%	71%	85%	87%	85%
Chemistry 6-12	58%	52%	59%	50%	50%	46%	58%	53%	76%	74%	76%
Elementary Ed K-6	78%	70%	75%	67%	74%	64%	79%	72%	83%	83%	84%
English 6-12	68%	63%	71%	64%	69%	64%	72%	67%	73%	73%	73%
Mathematics 6-12	46%	41%	42%	40%	44%	40%	48%	47%	54%	55%	63%
MG English 5-9	84%	81%	74%	70%	68%	65%	78%	75%	85%	81%	85%
MG General Science 5-9	56%	49%	57%	48%	54%	47%	61%	57%	74%	78%	73%
MG Math 5-9	63%	57%	62%	55%	61%	53%	66%	61%	75%	76%	73%
MG Social Science 5-9	58%	51%	60%	50%	61%	53%	66%	60%	82%	81%	86%
Music K-12	84%	79%	82%	71%	82%	73%	86%	78%	88%	88%	92%
Physics 6-12	53%	46%	49%	42%	54%	48%	45%	44%	59%	60%	61%
Pre-K/Primary PK-3	69%	60%	69%	58%	68%	57%	80%	71%	94%	93%	93%
Social Science 6-12	64%	55%	63%	54%	60%	51%	69%	62%	90%	89%	66%
Spanish K-12	84%	78%	85%	78%	84%	78%	79%	72%	83%	83%	87%
