Country	Population (2011)	GDP (nominal) (2010, US$ millions)	Military expenditures (2011, US$ millions)	Military expenditures (2011, % of GDP)	Defence expenditures, (2011, per capita)	Deployable military (2011, thousands)
Albania	2834667	13292	197	1.5	51	10
Belgium	10827519	465676	5541	1.1	404	32
Bulgaria	7351234	44843	758	1.55	64	29
Canada	34447000	1574051	23685	1.4	492	60
Croatia	4425747	59917	970	1.5	161	16
Czech Republic	10515818	192152	2448	1.1	162	23
Denmark	5560628	310760	4518	1.4	636	18
Estonia	1340122	19220	389	1.7	195	6
France	65821885	2582527	53444	1.9	666	227
Germany	81802000	3315643	48140	1.4	500	205
Greece	11306183	305415	6425	2.1	427	124
Hungary	10014324	128960	1378	1.0	111	29
Iceland	318452	12767	12	0.09	37	0a
Italy	60605053	2055114	30228	1.4	351	352
Latvia	2229500	23385	289	1.0	76	5
Lithuania	3249400	35734	351	0.8	75	9
Luxembourg	502100	52433	279	0.5	402	0.9
Netherlands	16667700	783293	11339	1.3	553	48
Norway	4937900	483650	7232	1.5	1036	21
Poland	38092000	468539	8908	1.7	181	100
Portugal	10636888	229336	3611	1.5	274	39
Romania	21466174	161629	2380	1.3	67	66
Slovakia	5435273	86262	1065	1.1	126	16
Slovenia	2046510	46442	665	1.3	255	7
Spain	46148605	1409946	13984	0.9	241	127
Turkey	73722988	741853	14479	1.9	149	495
United Kingdom	62008048	2247455	63567	2.6	994	192
United States	311328000	14657800	731879	4.8	2060	1,427
