No. in series	No. in season	Title	Directed by	Written by	Original air date	Production code	U.S. viewers (million)
55	1	" Chuck Versus the Anniversary "	Robert Duncan McNeill	Chris Fedak	September20,2010	3X6301	5.79
56	2	"Chuck Versus the Suitcase"	Gail Mancuso	Rafe Judkins & Lauren LeFranc	September27,2010	3X6302	5.37
57	3	"Chuck Versus the Cubic Z"	Norman Buckley	Nicholas Wootton	October4,2010	3X6303	5.38
58	4	"Chuck Versus the Coup d'Etat"	Robert Duncan McNeill	Kristin Newman	October11,2010	3X6304	5.33
59	5	"Chuck Versus the Couch Lock"	Michael Schultz	Henry Alonso Myers	October18,2010	3X6305	5.23
60	6	"Chuck Versus the Aisle of Terror"	John Scott	Craig DiGregorio	October25,2010	3X6306	5.45
61	7	"Chuck Versus the First Fight"	Allan Kroeker	Rafe Judkins & Lauren LeFranc	November1,2010	3X6307	5.47
62	8	"Chuck Versus the Fear of Death"	Robert Duncan McNeill	Nicholas Wootton	November15,2010	3X6308	5.43
63	9	"Chuck Versus Phase Three"	Anton Cropper	Kristin Newman	November22,2010	3X6309	4.80
64	10	"Chuck Versus the Leftovers"	Zachary Levi	Henry Alonso Myers	November29,2010	3X6310	6.17
65	11	"Chuck Versus the Balcony"	Jay Chandrasekhar	Max Denby	January17,2011	3X6311	5.97
66	12	"Chuck Versus the Gobbler"	Milan Cheylov	Craig DiGregorio	January24,2011	3X6312	6.06
67	13	" Chuck Versus the Push Mix "	Peter Lauer	Rafe Judkins & Lauren LeFranc	January31,2011	3X6313	5.57
68	14	" Chuck Versus the Seduction Impossible "	Patrick Norris	Chris Fedak & Kristin Newman	February7,2011	3X6314	5.41
69	15	" Chuck Versus the Cat Squad "	Paul Marks	Nicholas Wootton	February14,2011	3X6315	5.47
70	16	" Chuck Versus the Masquerade "	Patrick Norris	Rafe Judkins & Lauren LeFranc	February21,2011	3X6316	5.48
71	17	" Chuck Versus the First Bank of Evil "	Frederick E.O. Toye	Henry Alonso Myers & Craig DiGregorio	February28,2011	3X6317	5.35
72	18	" Chuck Versus the A-Team "	Kevin Mock	Phil Klemmer	March14,2011	3X6318	4.92
73	19	" Chuck Versus the Muuurder "	Allan Kroeker	Alex Katsnelson & Kristin Newman	March21,2011	3X6319	4.23
74	20	" Chuck Versus the Family Volkoff "	Robert Duncan McNeill	Amanda Kate Shuman & Nicholas Wootton	April11,2011	3X6320	4.03
75	21	" Chuck Versus the Wedding Planner "	Anton Cropper	Rafe Judkins & Lauren LeFranc	April18,2011	3X6321	4.22
76	22	" Chuck Versus Agent X "	Robert Duncan McNeill	Phil Klemmer & Craig DiGregorio	May2,2011	3X6322	4.10
77	23	" Chuck Versus the Last Details "	Peter Lauer	Henry Alonso Myers & Kristin Newman	May9,2011	3X6323	4.10
