Edition	Round	Date	Partnering	Against	Surface	Opponents	Result
2004 Davis Cup Europe/Africa Group II	1R	9–11 April 2004	Leonardo Tavares	Tunisia	Hard	Haithem Abid Malek Jaziri	7–5, 6–3, 6–2
2004 Davis Cup Europe/Africa Group II	QF	16–18 July 2004	Leonardo Tavares	Serbia and Montenegro	Clay	Nikola Ćirić Dušan Vemić	6–1, 7–6 (7–5) , 3–6, 1–6, 4–6
2005 Davis Cup Europe/Africa Group II	1R	4–6 March 2005	Leonardo Tavares	Estonia	Carpet	Mait Künnap Alti Vahkal	6–3, 6–4, 6–4
2005 Davis Cup Europe/Africa Group II	QF	15–17 July 2005	Leonardo Tavares	Algeria	Clay	Slimane Saoudi Abdel-Hak Hameurlaine	6–7 (3–7) , 6–3, 6–1, 7–6 (7–3)
2005 Davis Cup Europe/Africa Group II	SF	23–25 September 2005	Leonardo Tavares	Slovenia	Clay	Rok Jarc Grega Žemlja	6–4, 6–2, 6–4
2006 Davis Cup Europe/Africa Group I	1R	10–12 February 2006	Leonardo Tavares	Luxembourg	Hard	Gilles Müller Mike Scheidweiler	6–4, 3–6, 5–7, 1–6
2006 Davis Cup Europe/Africa Group I	GI Play-Offs	22–24 September 2006	Gonçalo Nicau	Morocco	Clay	Mounir El Aarej Mehdi Ziadi	6–1, 6–3, 6–1
2007 Davis Cup Europe/Africa Group I	1R	9–11 February 2007	Gastão Elias	Georgia	Carpet	Lado Chikhladze Irakli Labadze	6–7 (6–7) , 7–6 (9–7) , 6–7 (4–7) , 7–5, 3–6
2007 Davis Cup Europe/Africa Group I	GI Play-Offs	21–23 September 2007	Gastão Elias	Netherlands	Hard	Jesse Huta Galung Peter Wessels	2–6, 7–6 (7–5) , 6–7 (5–7) , 3–6
2008 Davis Cup Europe/Africa Group II	QF	18–20 July 2008	Leonardo Tavares	Cyprus	Clay	Photos Kallias Demetrios Leontis	6–2, 6–1, 5–7, 6–3
2009 Davis Cup Europe/Africa Group II	1R	6–8 March 2009	Leonardo Tavares	Cyprus	Hard	Marcos Baghdatis Photos Kallias	4–6, 6–3, 6–4, 3–6, 1–6
2009 Davis Cup Europe/Africa Group II	GII Play-Offs	10–12 July 2009	Leonardo Tavares	Algeria	Clay	Abdel-Hak Hameurlaine Valentin Rahmine	6–1, 6–2, 6–3
2010 Davis Cup Europe/Africa Group II	1R	5–7 March 2009	Leonardo Tavares	Denmark	Clay	Frederik Nielsen Martin Pedersen	6–4, 6–3, 6–1
2010 Davis Cup Europe/Africa Group II	QF	9–11 July 2010	Leonardo Tavares	Cyprus	Clay	Eleftherios Christou Rares Cuzdriorean	6–2, 6–1, 6–3
2010 Davis Cup Europe/Africa Group II	SF	17–19 September 2010	Leonardo Tavares	Bosnia and Herzegovina	Clay	Amer Delić Aldn Setkic	6–1, 6–4, 4–6, 6–4
2011 Davis Cup Europe/Africa Group I	1R	4–6 March 2011	Leonardo Tavares	Slovakia	Clay	Michal Mertiňák Filip Polášek	3–6, 4–6, 6–1, 1–6
2011 Davis Cup Europe/Africa Group I	2R	8–10 July 2011	Leonardo Tavares	Switzerland	Carpet	Roger Federer Stanislas Wawrinka	3–6, 4–6, 4–6
