Player	Nationality	Position	Years in Toronto	School/Club Team
John Salley	United States	Forward	1995-96	Georgia Tech
Reggie Slater	United States	Guard-Forward	1996-99	Wyoming
Uroš Slokar	Slovenia	Forward-Center	2006-07	Benetton Treviso (Italy)
Will Solomon	United States	Guard	2008-09	Fenerbahçe Ülker ( Turkey )
Pape Sow	Senegal	Forward	2004-07	Cal State Fullerton
Michael Stewart	United States	Forward-Center	1998-2002	California
Ed Stokes	United States	Forward	1997-98	Arizona
Peja Stojaković	Serbia	Forward	2010-11	PAOK ( Greece )
Damon Stoudamire	United States	Guard	1995-98	Arizona
Rod Strickland	United States	Guard	2004	DePaul
