Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Club	Played	Drawn	Lost	Points for	Points against	Tries for	Tries against	Try bonus	Losing bonus	Points
Maesteg RFC	22	2	1	615	271	78	24	12	0	92
Waunarlwydd RFC	22	1	7	594	359	73	38	10	5	73
BP Llandarcy RFC	22	1	7	376	320	43	36	3	5	66
Kidwelly RFC	22	0	9	558	393	68	39	6	6	64
Aberavon Quins RFC	22	0	9	449	424	56	45	6	3	61
Ammanford RFC	22	1	10	409	348	45	33	4	8	58
Loughor RFC	22	1	11	427	479	47	60	5	4	51
Aberystwyth RFC	22	0	12	390	509	46	71	5	4	49
Pontyberem RFC	22	0	12	353	520	35	67	4	3	47
Mumbles RFC	22	1	14	372	471	51	55	5	4	39
Pencoed RFC	22	0	19	321	505	34	62	0	10	22
Dunvant RFC	22	1	17	324	589	33	79	0	2	20
Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010	Correct as of 3 August 2010
