Round	Overall	Player	Position	School/Club Team
1	20	Willis Adams	Wide Receiver	Houston
2	40	Lawrence Johnson	Defensive Back	Wisconsin
2	47	Sam Claphan	Offensive Tackle	Oklahoma
3	70	Jim Ramey	Defensive End	Kentucky
4	95	Matt Miller	Offensive Tackle	Colorado
5	124	Rich Dimler	Defensive Tackle	USC
6	151	Clinton Burrell	Defensive Back	LSU
6	163	Jim Ronan	Defensive Tackle	Minnesota
7	183	Cody Risien	Offensive Tackle	Texas A&M
8	204	Kent Perkov	Defensive End	San Diego State
9	234	Carl McGee	Linebacker	Duke
9	241	Curtis Weathers	Linebacker	Mississippi
10	261	John Henry Smith	Wide Receiver	Tennessee State
11	287	Randy Poeschl	Defensive End	Nebraska
12	315	Dee Methvin	Center	Tulane
