Year	Starts	Wins	Top 5	Top 10	Poles	Avg. Start	Avg. Finish	Winnings	Position
1991	2	0	0	0	0	35.0	22.0	$27,625	55th
1993	1	0	0	0	0	14.0	42.0	$17,665	93rd
1994	1	0	0	0	0	38.0	38.0	$7,965	76th
1996	3	0	0	0	0	17.3	40.7	$33,915	57th
1997	20	0	1	1	1	25.3	29.6	$622,439	40th
1998	1	0	0	0	0	18.0	37.0	$24,765	67th
2000	17	0	1	2	0	29.9	29.2	$620,781	43rd
2001	17	1	2	3	0	32.4	24.8	$1,371,900	44th
2002	36	0	1	5	0	18.4	21.1	$3,342,703	20th
2003	36	2	4	10	0	23.1	19.7	$4,157,064	16th
2004	36	0	2	6	0	23.2	21.2	$4,225,719	23rd
2005	29	0	1	2	0	27.0	30.1	$2,271,313	37th
2006	36	0	1	3	0	27.5	25.3	$3,143,787	30th
2007	35	0	1	2	0	33.9	25.8	$3,090,004	26th
2008	36	0	0	3	0	30.9	29.0	$3,816,362	33rd
2009	35	0	1	1	0	30.1	28.5	$3,860,582	34th
2010	27	0	1	1	0	33.8	29.1	$2,913,816	34th
2011	25	0	0	0	0	36.5	33.4	$2,271,891	34th
2012	3	0	0	0	0	30.0	40.3	$405,300	52nd
