Rank by average	Place	Couple	Total points	Number of dances	Average
1	2	Laura and Colin	348.0	13	26.8
2	1	Sam and Brianne	337.0	13	25.9
3	3	Chloe & Michael	290.0	13	22.3
4	5	Jeff & Isabelle	181.5	9	20.2
5	7	Vanilla Ice & Katie	128.0	7	18.2
6	10	Jennifer & Sylvain	69.0	4	17.3
7	4	Johnson & Jodeyne	164.0	11	14.9
8	6	Denise & Matt	116.5	8	14.6
9	8	Kerry & Daniel	69.0	6	11.5
10	11	Dominic & Alexandra	33.5	3	11.2
11	16	Angela & Sean	11	1	11.0
11	14	Elen & Łukasz	11	1	11.0
11	9	Comedy Dave & Frankie	55.0	5	11.0
14	15	Nadia & Mark	9	1	9.0
14	13	Craig & Maria	9	1	9.0
