Week	Date	Opponent	Score	Result	Attendance	Record
1	Sat, June 28	vs. Edmonton Eskimos	34–13	Win	28,800	1–0
2	Fri, July 4	at BC Lions	26–16	Win	33,815	2–0
3	Sat, July 12	at Hamilton Tiger-Cats	33–28	Win	20,874	3–0
4	Sat, July 19	vs. Montreal Alouettes	41–33	Win	28,800	4–0
5	Sun, July 27	vs. Toronto Argonauts	28–22	Win	28,800	5–0
6	Sat, Aug 2	at Calgary Stampeders	22–21	Win	35,650	6–0
7	Thurs, Aug 7	vs. Calgary Stampeders	30–25	Loss	28,800	6–1
8	Bye	Bye	Bye	Bye	Bye	Bye
9	Thurs, Aug 21	at Edmonton Eskimos	27–10	Loss	48,808	6–2
10	Sun, Aug 31	vs. Winnipeg Blue Bombers	19–6	Win	30,985	7–2
11	Sun, Sept 7	at Winnipeg Blue Bombers	34–31	Win	29,770	8–2
12	Sat, Sept 13	at BC Lions	28–23	Loss	38,608	8–3
13	Sat, Sept 20	vs. BC Lions	27–21	Loss	30,945	8–4
14	Sun, Sept 28	at Montreal Alouettes	37–12	Loss	20,202	8–5
15	Fri, Oct 3	vs. Calgary Stampeders	37–34	Win	30,945	9–5
16	Mon, Oct 13	at Calgary Stampeders	42–5	Loss	35,650	9–6
17	Sun, Oct 19	vs. Hamilton Tiger-Cats	30–29	Win	30,945	10–6
18	Sat, Oct 25	vs. Edmonton Eskimos	55–9	Win	30,945	11–6
19	Thurs, Oct 30	at Toronto Argonauts	45–38	Win	28,654	12–6
