Game	February	Opponent	Score	Record
51	1	Minnesota North Stars	3 - 2	19-26-6
52	4	New York Islanders	6 - 5	19-27-6
53	7	@ Detroit Red Wings	5 - 4	20-27-6
54	8	Montreal Canadiens	3 - 0	20-28-6
55	12	@ Philadelphia Flyers	6 - 1	20-29-6
56	13	Philadelphia Flyers	5 - 3	20-30-6
57	15	Kansas City Scouts	5 - 1	21-30-6
58	17	@ New York Islanders	3 - 1	22-30-6
59	18	Washington Capitals	11 - 4	23-30-6
60	20	@ Montreal Canadiens	5 - 3	23-31-6
61	22	Boston Bruins	5 - 2	23-32-6
62	25	California Golden Seals	6 - 4	23-33-6
63	28	@ Minnesota North Stars	5 - 3	23-34-6
64	29	Montreal Canadiens	1 - 1	23-34-7
