Race Title	Circuit	City / State	Date	Winner	Team
Better Brakes 100	Amaroo Park	Sydney , New South Wales	1 - 2 Mar	Robbie Francevic	Volvo Dealer Team
A.N.L. Cup	Symmons Plains Raceway	Launceston , Tasmania	8 - 9 Mar	Robbie Francevic	Volvo Dealer Team
Castrol Challenge	Sandown International Raceway	Melbourne , Victoria	12 - 13 Apr	George Fury	Peter Jackson Nissan Racing
Motorcraft 100	Adelaide International Raceway	Adelaide , South Australia	26 - 27 Apr	Robbie Francevic	Volvo Dealer Team
Motorcraft 100	Barbagallo Raceway	Perth , Western Australia	5–6 May	George Fury	Peter Jackson Nissan Racing
XXXX 100	Surfers Paradise Raceway	Surfers Paradise , Queensland	17–18 May	Peter Brock	Mobil Holden Dealer Team
Coca-Cola Cup	Calder Park Raceway	Melbourne , Victoria	31 May - 1 Jun	George Fury	Peter Jackson Nissan Racing
Motorcraft 100	Lakeside International Raceway	Brisbane , Queensland	14 - 15 Jun	George Fury	Peter Jackson Nissan Racing
Lusty-Allison Winton Roundup	Winton Motor Raceway	Benalla , Victoria	28 - 29 Jun	Jim Richards	JPS Team BMW
Castrol Grand Final	Oran Park Raceway	Sydney , New South Wales	12 - 13 Jul	George Fury	Peter Jackson Nissan Racing
