Date of release	Title	Billboard peak	RIAA cert.	Label
August 13, 1973	(Pronounced 'Lĕh-'nérd 'Skin-'nérd)	27	2× Platinum	MCA
April 15, 1974	Second Helping	12	2× Platinum	MCA
March 24, 1975	Nuthin' Fancy	9	Platinum	MCA
February 2, 1976	Gimme Back My Bullets	20	Gold	MCA
October 17, 1977	Street Survivors	5	2× Platinum	MCA
June 11, 1991	Lynyrd Skynyrd 1991	64	—	Atlantic
February 16, 1993	The Last Rebel	64	—	Atlantic
August 9, 1994	Endangered Species	—	—	Capricorn
April 29, 1997	Twenty	97	—	CMC
August 10, 1999	Edge of Forever	96	—	CMC
September 12, 2000	Christmas Time Again	38	—	Sanctuary
May 20, 2003	Vicious Cycle	30	—	Sanctuary
September 29, 2009	God & Guns	18	—	Roadrunner
August 21, 2012	Last of a Dyin' Breed	14	—	Roadrunner
